+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| 61    | 0   | 7   | 0   | 54  | 0   | GET    | /                  | 1.196  | 10.008 | 545.451 | 8.942  | 10.004 | 10.008 | 10.008 | 2.789  | 0.000       | 6040.000    | 41223.000   | 675.787     |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@becky            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@summer           | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@claudia          | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@gilda            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@sadie            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@flossie          | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@noemi            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@whitney          | 9.996  | 9.996  | 9.996   | 9.996  | 9.996  | 9.996  | 9.996  | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
