+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| 61    | 0   | 7   | 0   | 54  | 0   | GET    | /                  | 1.256  | 10.008 | 546.231 | 8.955  | 10.008 | 10.008 | 10.008 | 2.769  | 0.000       | 6061.000    | 41177.000   | 675.033     |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@kellie           | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@lily             | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@kathleen         | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@rosalinda        | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@doris            | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@lesley           | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@may              | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@olga             | 10.000 | 10.000 | 10.000  | 10.000 | 10.000 | 10.000 | 10.000 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
