+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+---------------+-------------+
| 675   | 0   | 675  | 0   | 0   | 0   | GET    | /                  | 0.044 | 0.660 | 240.410 | 0.356 | 0.476 | 0.528 | 0.584 | 0.096  | 2709.000    | 6044.000    | 2293816.000   | 3398.246    |
| 1117  | 0   | 1117 | 0   | 0   | 0   | GET    | /posts/*           | 0.004 | 0.764 | 125.708 | 0.113 | 0.464 | 0.576 | 0.672 | 0.170  | 755.000     | 5785.000    | 2013281.000   | 1802.400    |
| 498   | 0   | 0    | 498 | 0   | 0   | POST   | /login             | 0.004 | 0.200 | 23.859  | 0.048 | 0.092 | 0.100 | 0.124 | 0.031  | 0.000       | 0.000       | 0.000         | 0.000       |
| 118   | 0   | 0    | 59  | 59  | 0   | POST   | /                  | 0.004 | 0.212 | 6.160   | 0.052 | 0.156 | 0.176 | 0.196 | 0.058  | 0.000       | 0.000       | 0.000         | 0.000       |
| 69    | 0   | 0    | 69  | 0   | 0   | POST   | /register          | 0.016 | 0.224 | 5.648   | 0.082 | 0.132 | 0.140 | 0.224 | 0.037  | 0.000       | 0.000       | 0.000         | 0.000       |
| 1284  | 0   | 1284 | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.072 | 3.556   | 0.003 | 0.008 | 0.012 | 0.032 | 0.006  | 1915.000    | 1915.000    | 2458860.000   | 1915.000    |
| 1284  | 0   | 1284 | 0   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.076 | 3.516   | 0.003 | 0.008 | 0.012 | 0.028 | 0.006  | 43.000      | 43.000      | 55212.000     | 43.000      |
| 1284  | 0   | 1284 | 0   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.080 | 3.268   | 0.003 | 0.008 | 0.012 | 0.028 | 0.006  | 1549.000    | 1549.000    | 1988916.000   | 1549.000    |
| 1284  | 0   | 1284 | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.056 | 3.016   | 0.002 | 0.008 | 0.012 | 0.024 | 0.005  | 1824.000    | 1824.000    | 2342016.000   | 1824.000    |
| 113   | 0   | 113  | 0   | 0   | 0   | GET    | /image/10051.png   | 0.008 | 0.148 | 2.276   | 0.020 | 0.040 | 0.068 | 0.112 | 0.023  | 995190.000  | 996149.000  | 112552078.000 | 996036.088  |
| 113   | 0   | 113  | 0   | 0   | 0   | GET    | /image/10029.png   | 0.004 | 0.132 | 2.176   | 0.019 | 0.040 | 0.060 | 0.132 | 0.022  | 964687.000  | 965614.000  | 109100400.000 | 965490.265  |
| 114   | 0   | 114  | 0   | 0   | 0   | GET    | /image/10030.png   | 0.004 | 0.080 | 1.980   | 0.017 | 0.040 | 0.056 | 0.068 | 0.016  | 902148.000  | 903026.000  | 102932672.000 | 902918.175  |
| 105   | 0   | 105  | 0   | 0   | 0   | GET    | /image/10026.png   | 0.004 | 0.116 | 1.860   | 0.018 | 0.040 | 0.044 | 0.116 | 0.020  | 971094.000  | 972021.000  | 102051625.000 | 971920.238  |
| 112   | 0   | 112  | 0   | 0   | 0   | GET    | /image/10050.png   | 0.004 | 0.112 | 1.844   | 0.016 | 0.036 | 0.044 | 0.064 | 0.016  | 745562.000  | 746247.000  | 83572534.000  | 746183.339  |
| 114   | 0   | 114  | 0   | 0   | 0   | GET    | /image/10048.png   | 0.004 | 0.104 | 1.804   | 0.016 | 0.036 | 0.048 | 0.104 | 0.017  | 964671.000  | 965614.000  | 110066131.000 | 965492.377  |
| 115   | 0   | 115  | 0   | 0   | 0   | GET    | /image/10047.png   | 0.004 | 0.076 | 1.804   | 0.016 | 0.036 | 0.052 | 0.076 | 0.016  | 889462.000  | 890309.000  | 102379805.000 | 890259.174  |
| 118   | 0   | 118  | 0   | 0   | 0   | GET    | /image/10035.png   | 0.004 | 0.108 | 1.744   | 0.015 | 0.036 | 0.040 | 0.076 | 0.015  | 842280.000  | 843087.000  | 99471652.000  | 842980.102  |
| 117   | 0   | 117  | 0   | 0   | 0   | GET    | /image/10024.png   | 0.008 | 0.092 | 1.704   | 0.015 | 0.032 | 0.044 | 0.076 | 0.015  | 948825.000  | 949744.000  | 111104327.000 | 949609.632  |
| 119   | 0   | 119  | 0   | 0   | 0   | GET    | /image/10042.png   | 0.004 | 0.076 | 1.684   | 0.014 | 0.028 | 0.052 | 0.056 | 0.013  | 1014599.000 | 1015598.000 | 120835623.000 | 1015425.403 |
| 116   | 0   | 116  | 0   | 0   | 0   | GET    | /image/10028.png   | 0.004 | 0.120 | 1.676   | 0.014 | 0.028 | 0.064 | 0.112 | 0.020  | 685822.000  | 686445.000  | 79619274.000  | 686373.052  |
| 117   | 0   | 117  | 0   | 0   | 0   | GET    | /image/10032.png   | 0.004 | 0.112 | 1.664   | 0.014 | 0.032 | 0.048 | 0.064 | 0.016  | 795255.000  | 796014.000  | 93118363.000  | 795883.444  |
| 119   | 0   | 119  | 0   | 0   | 0   | GET    | /image/10034.jpg   | 0.000 | 0.092 | 1.664   | 0.014 | 0.044 | 0.060 | 0.084 | 0.018  | 84323.000   | 84345.000   | 10035979.000  | 84335.958   |
| 113   | 0   | 113  | 0   | 0   | 0   | GET    | /image/10023.png   | 0.004 | 0.068 | 1.632   | 0.014 | 0.028 | 0.048 | 0.064 | 0.014  | 846478.000  | 847277.000  | 95735397.000  | 847215.903  |
| 111   | 0   | 111  | 0   | 0   | 0   | GET    | /image/10025.jpg   | 0.004 | 0.096 | 1.628   | 0.015 | 0.032 | 0.068 | 0.080 | 0.019  | 101530.000  | 101569.000  | 11271586.000  | 101545.820  |
| 118   | 0   | 118  | 0   | 0   | 0   | GET    | /image/10031.jpg   | 0.008 | 0.180 | 1.624   | 0.014 | 0.024 | 0.056 | 0.092 | 0.022  | 64876.000   | 64907.000   | 7657772.000   | 64896.373   |
| 118   | 0   | 118  | 0   | 0   | 0   | GET    | /image/10049.jpg   | 0.004 | 0.072 | 1.624   | 0.014 | 0.036 | 0.052 | 0.064 | 0.016  | 74430.000   | 74462.000   | 8786403.000   | 74461.042   |
| 122   | 0   | 122  | 0   | 0   | 0   | GET    | /image/10000.png   | 0.004 | 0.064 | 1.568   | 0.013 | 0.024 | 0.032 | 0.060 | 0.011  | 1057178.000 | 1057911.000 | 129054119.000 | 1057820.648 |
