+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 693   | 0   | 693  | 0   | 0   | 0   | GET    | /                  | 0.048 | 0.652 | 242.548 | 0.350 | 0.476 | 0.508 | 0.556 | 0.094  | 2590.000   | 6050.000    | 2310018.000    | 3333.359   |
| 1148  | 0   | 1148 | 0   | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.808 | 127.104 | 0.111 | 0.448 | 0.580 | 0.700 | 0.172  | 714.000    | 5785.000    | 2060892.000    | 1795.202   |
| 9399  | 0   | 9399 | 0   | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.152 | 90.080  | 0.010 | 0.024 | 0.036 | 0.068 | 0.014  | 36610.000  | 375225.000  | 995274459.000  | 105891.527 |
| 154   | 0   | 154  | 0   | 0   | 0   | GET    | ^/@.*              | 0.040 | 0.780 | 63.182  | 0.410 | 0.528 | 0.588 | 0.692 | 0.107  | 1908.000   | 5475.000    | 502816.000     | 3265.039   |
| 2434  | 0   | 2434 | 0   | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.188 | 33.644  | 0.014 | 0.032 | 0.044 | 0.076 | 0.015  | 627165.000 | 1057905.000 | 2155166262.000 | 885442.178 |
| 512   | 0   | 0    | 512 | 0   | 0   | POST   | /login             | 0.004 | 0.176 | 24.572  | 0.048 | 0.088 | 0.108 | 0.136 | 0.032  | 0.000      | 0.000       | 0.000          | 0.000      |
| 122   | 0   | 0    | 61  | 61  | 0   | POST   | /                  | 0.004 | 0.256 | 5.752   | 0.047 | 0.120 | 0.164 | 0.248 | 0.055  | 0.000      | 0.000       | 0.000          | 0.000      |
| 71    | 0   | 0    | 71  | 0   | 0   | POST   | /register          | 0.012 | 0.192 | 5.287   | 0.074 | 0.132 | 0.140 | 0.192 | 0.038  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1329  | 0   | 1329 | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.080 | 3.424   | 0.003 | 0.008 | 0.012 | 0.028 | 0.006  | 1915.000   | 1915.000    | 2545035.000    | 1915.000   |
| 1329  | 0   | 1329 | 0   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.052 | 3.416   | 0.003 | 0.008 | 0.012 | 0.028 | 0.006  | 43.000     | 43.000      | 57147.000      | 43.000     |
| 1329  | 0   | 1329 | 0   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.088 | 3.252   | 0.002 | 0.008 | 0.012 | 0.032 | 0.006  | 1824.000   | 1824.000    | 2424096.000    | 1824.000   |
| 1329  | 0   | 1329 | 0   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.056 | 3.128   | 0.002 | 0.008 | 0.012 | 0.028 | 0.005  | 1549.000   | 1549.000    | 2058621.000    | 1549.000   |
| 67    | 0   | 0    | 67  | 0   | 0   | POST   | /comment           | 0.004 | 0.080 | 1.700   | 0.025 | 0.052 | 0.064 | 0.080 | 0.017  | 0.000      | 0.000       | 0.000          | 0.000      |
| 168   | 0   | 168  | 0   | 0   | 0   | GET    | /login             | 0.000 | 0.076 | 0.908   | 0.005 | 0.012 | 0.024 | 0.056 | 0.010  | 615.000    | 615.000     | 103320.000     | 615.000    |
| 71    | 0   | 0    | 0   | 71  | 0   | GET    | /admin/banned      | 0.000 | 0.088 | 0.824   | 0.012 | 0.028 | 0.060 | 0.088 | 0.017  | 0.000      | 0.000       | 0.000          | 0.000      |
| 84    | 0   | 0    | 84  | 0   | 0   | GET    | /logout            | 0.000 | 0.028 | 0.224   | 0.003 | 0.004 | 0.008 | 0.028 | 0.005  | 24.000     | 24.000      | 2016.000       | 24.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/6564.gif    | 0.012 | 0.040 | 0.052   | 0.026 | 0.040 | 0.040 | 0.040 | 0.014  | 547742.000 | 547887.000  | 1095629.000    | 547814.500 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/5046.gif    | 0.012 | 0.028 | 0.040   | 0.020 | 0.028 | 0.028 | 0.028 | 0.008  | 531588.000 | 531836.000  | 1063424.000    | 531712.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/9016.gif    | 0.016 | 0.020 | 0.036   | 0.018 | 0.020 | 0.020 | 0.020 | 0.002  | 539552.000 | 539871.000  | 1079423.000    | 539711.500 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/8638.gif    | 0.004 | 0.024 | 0.028   | 0.014 | 0.024 | 0.024 | 0.024 | 0.010  | 544834.000 | 545320.000  | 1090154.000    | 545077.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/2988.gif    | 0.008 | 0.020 | 0.028   | 0.014 | 0.020 | 0.020 | 0.020 | 0.006  | 569747.000 | 569754.000  | 1139501.000    | 569750.500 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /initialize        | 0.028 | 0.028 | 0.028   | 0.028 | 0.028 | 0.028 | 0.028 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/8730.gif    | 0.004 | 0.020 | 0.024   | 0.012 | 0.020 | 0.020 | 0.020 | 0.008  | 492340.000 | 492484.000  | 984824.000     | 492412.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/1860.gif    | 0.008 | 0.016 | 0.024   | 0.012 | 0.016 | 0.016 | 0.016 | 0.004  | 558877.000 | 558885.000  | 1117762.000    | 558881.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /image/6310.gif    | 0.012 | 0.012 | 0.024   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 557165.000 | 557578.000  | 1114743.000    | 557371.500 |
