+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 1360  | 0   | 1360  | 0    | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.656 | 124.185 | 0.091 | 0.336 | 0.448 | 0.568 | 0.131  | 720.000    | 5751.000    | 2403580.000    | 1767.338   |
| 11133 | 0   | 11133 | 0    | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.004 | 0.128 | 121.523 | 0.011 | 0.024 | 0.028 | 0.048 | 0.010  | 31893.000  | 402939.000  | 1203424855.000 | 108095.289 |
| 5715  | 0   | 5715  | 0    | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.120 | 91.844  | 0.016 | 0.032 | 0.036 | 0.056 | 0.011  | 627188.000 | 1220316.000 | 4991049603.000 | 873324.515 |
| 1122  | 0   | 0     | 1122 | 0   | 0   | POST   | /login             | 0.032 | 0.180 | 64.426  | 0.057 | 0.100 | 0.116 | 0.140 | 0.033  | 0.000      | 0.000       | 0.000          | 0.000      |
| 221   | 0   | 221   | 0    | 0   | 0   | GET    | ^/@.*              | 0.036 | 0.628 | 62.592  | 0.283 | 0.396 | 0.460 | 0.516 | 0.092  | 1618.000   | 5470.000    | 719463.000     | 3255.489   |
| 1609  | 0   | 1609  | 0    | 0   | 0   | GET    | /                  | 0.004 | 0.480 | 46.204  | 0.029 | 0.032 | 0.048 | 0.404 | 0.071  | 2508.000   | 6103.000    | 5038600.000    | 3131.510   |
| 292   | 0   | 0     | 292  | 0   | 0   | POST   | /register          | 0.016 | 0.164 | 21.512  | 0.074 | 0.112 | 0.132 | 0.152 | 0.029  | 0.000      | 0.000       | 0.000          | 0.000      |
| 316   | 0   | 0     | 158  | 158 | 0   | POST   | /                  | 0.000 | 0.192 | 14.592  | 0.046 | 0.120 | 0.140 | 0.172 | 0.045  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1563  | 0   | 1563  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.040 | 5.376   | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 43.000     | 43.000      | 67209.000      | 43.000     |
| 1563  | 0   | 1563  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.032 | 5.308   | 0.003 | 0.008 | 0.012 | 0.020 | 0.004  | 1915.000   | 1915.000    | 2993145.000    | 1915.000   |
| 1563  | 0   | 1563  | 0    | 0   | 0   | GET    | /js/main.js        | 0.004 | 0.044 | 5.180   | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 1824.000   | 1824.000    | 2850912.000    | 1824.000   |
| 1563  | 0   | 1563  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.092 | 5.132   | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 1549.000   | 1549.000    | 2421087.000    | 1549.000   |
| 133   | 0   | 0     | 133  | 0   | 0   | POST   | /comment           | 0.004 | 0.104 | 3.148   | 0.024 | 0.040 | 0.056 | 0.072 | 0.015  | 0.000      | 0.000       | 0.000          | 0.000      |
| 292   | 0   | 0     | 0    | 292 | 0   | GET    | /admin/banned      | 0.004 | 0.048 | 3.000   | 0.010 | 0.020 | 0.028 | 0.036 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 254   | 0   | 254   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.040 | 1.476   | 0.006 | 0.012 | 0.016 | 0.024 | 0.006  | 615.000    | 615.000     | 156210.000     | 615.000    |
| 127   | 0   | 0     | 127  | 0   | 0   | GET    | /logout            | 0.004 | 0.032 | 0.584   | 0.005 | 0.012 | 0.016 | 0.020 | 0.005  | 24.000     | 24.000      | 3048.000       | 24.000     |
| 28    | 0   | 28    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.028 | 0.372   | 0.013 | 0.024 | 0.024 | 0.028 | 0.006  | 486574.000 | 599284.000  | 15432193.000   | 551149.750 |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.024 | 0.024 | 0.024   | 0.024 | 0.024 | 0.024 | 0.024 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
