+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 12280 | 0   | 12280 | 0    | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.148 | 126.481 | 0.010 | 0.020 | 0.028 | 0.044 | 0.010  | 32372.000  | 408494.000  | 1294030828.000 | 105377.103 |
| 1522  | 0   | 1522  | 0    | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.636 | 126.181 | 0.083 | 0.296 | 0.396 | 0.532 | 0.119  | 718.000    | 5832.000    | 2659049.000    | 1747.076   |
| 5203  | 0   | 5203  | 0    | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.216 | 84.904  | 0.016 | 0.028 | 0.036 | 0.052 | 0.011  | 627180.000 | 1156489.000 | 4651671379.000 | 894036.398 |
| 1183  | 0   | 0     | 1183 | 0   | 0   | POST   | /login             | 0.024 | 0.172 | 66.880  | 0.057 | 0.104 | 0.116 | 0.144 | 0.033  | 0.000      | 0.000       | 0.000          | 0.000      |
| 267   | 0   | 267   | 0    | 0   | 0   | GET    | ^/@.*              | 0.020 | 0.428 | 51.647  | 0.193 | 0.292 | 0.320 | 0.408 | 0.075  | 1736.000   | 5525.000    | 862410.000     | 3230.000   |
| 1680  | 0   | 1680  | 0    | 0   | 0   | GET    | /                  | 0.004 | 0.496 | 47.231  | 0.028 | 0.032 | 0.052 | 0.404 | 0.067  | 2656.000   | 6101.000    | 5290771.000    | 3149.268   |
| 298   | 0   | 0     | 298  | 0   | 0   | POST   | /register          | 0.016 | 0.204 | 21.832  | 0.073 | 0.120 | 0.136 | 0.172 | 0.033  | 0.000      | 0.000       | 0.000          | 0.000      |
| 338   | 0   | 0     | 169  | 169 | 0   | POST   | /                  | 0.004 | 0.171 | 13.475  | 0.040 | 0.108 | 0.128 | 0.156 | 0.040  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1706  | 0   | 1706  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.044 | 6.432   | 0.004 | 0.012 | 0.012 | 0.020 | 0.005  | 43.000     | 43.000      | 73358.000      | 43.000     |
| 1706  | 0   | 1706  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.044 | 6.100   | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 1915.000   | 1915.000    | 3266990.000    | 1915.000   |
| 1706  | 0   | 1706  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.048 | 5.964   | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 1824.000   | 1824.000    | 3111744.000    | 1824.000   |
| 1706  | 0   | 1706  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.048 | 5.332   | 0.003 | 0.008 | 0.012 | 0.020 | 0.004  | 1549.000   | 1549.000    | 2642594.000    | 1549.000   |
| 160   | 0   | 0     | 160  | 0   | 0   | POST   | /comment           | 0.004 | 0.120 | 3.568   | 0.022 | 0.036 | 0.044 | 0.080 | 0.014  | 0.000      | 0.000       | 0.000          | 0.000      |
| 298   | 0   | 0     | 0    | 298 | 0   | GET    | /admin/banned      | 0.000 | 0.052 | 2.808   | 0.009 | 0.020 | 0.024 | 0.040 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 258   | 0   | 258   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.036 | 1.608   | 0.006 | 0.016 | 0.020 | 0.032 | 0.006  | 615.000    | 615.000     | 158670.000     | 615.000    |
| 129   | 0   | 0     | 129  | 0   | 0   | GET    | /logout            | 0.000 | 0.020 | 0.664   | 0.005 | 0.012 | 0.016 | 0.020 | 0.005  | 24.000     | 24.000      | 3096.000       | 24.000     |
| 32    | 0   | 32    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.008 | 0.040 | 0.472   | 0.015 | 0.028 | 0.032 | 0.040 | 0.009  | 459340.000 | 675438.000  | 17848900.000   | 557778.125 |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.412 | 0.412 | 0.412   | 0.412 | 0.412 | 0.412 | 0.412 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
