+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 12036 | 0   | 12036 | 0    | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.120 | 126.304 | 0.010 | 0.020 | 0.028 | 0.048 | 0.010  | 37933.000  | 375225.000  | 1281162522.000 | 106444.211 |
| 1491  | 0   | 1491  | 0    | 0   | 0   | GET    | ^/posts/*          | 0.056 | 0.652 | 125.488 | 0.084 | 0.300 | 0.392 | 0.516 | 0.117  | 715.000    | 5785.000    | 2616906.000    | 1755.135   |
| 5414  | 0   | 5414  | 0    | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.104 | 85.700  | 0.016 | 0.028 | 0.036 | 0.056 | 0.011  | 627189.000 | 1156489.000 | 4785490592.000 | 883910.342 |
| 1154  | 0   | 0     | 1154 | 0   | 0   | POST   | /login             | 0.020 | 0.184 | 66.016  | 0.057 | 0.104 | 0.120 | 0.140 | 0.034  | 0.000      | 0.000       | 0.000          | 0.000      |
| 258   | 0   | 258   | 0    | 0   | 0   | GET    | ^/@.*              | 0.020 | 0.440 | 51.960  | 0.201 | 0.312 | 0.352 | 0.424 | 0.080  | 1672.000   | 5422.000    | 844452.000     | 3273.070   |
| 1645  | 0   | 1645  | 0    | 0   | 0   | GET    | /                  | 0.004 | 0.492 | 47.744  | 0.029 | 0.032 | 0.052 | 0.408 | 0.069  | 2588.000   | 6105.000    | 5168973.000    | 3142.233   |
| 292   | 0   | 0     | 292  | 0   | 0   | POST   | /register          | 0.012 | 0.204 | 22.004  | 0.075 | 0.120 | 0.132 | 0.164 | 0.032  | 0.000      | 0.000       | 0.000          | 0.000      |
| 320   | 0   | 0     | 160  | 160 | 0   | POST   | /                  | 0.008 | 0.184 | 13.912  | 0.043 | 0.108 | 0.132 | 0.164 | 0.042  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1685  | 0   | 1685  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.040 | 6.228   | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 43.000     | 43.000      | 72455.000      | 43.000     |
| 1685  | 0   | 1685  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.036 | 6.080   | 0.004 | 0.008 | 0.012 | 0.024 | 0.005  | 1915.000   | 1915.000    | 3226775.000    | 1915.000   |
| 1685  | 0   | 1685  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.052 | 6.032   | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 1824.000   | 1824.000    | 3073440.000    | 1824.000   |
| 1685  | 0   | 1685  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.048 | 5.708   | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 1549.000   | 1549.000    | 2610065.000    | 1549.000   |
| 155   | 0   | 0     | 155  | 0   | 0   | POST   | /comment           | 0.004 | 0.108 | 3.332   | 0.021 | 0.032 | 0.044 | 0.060 | 0.012  | 0.000      | 0.000       | 0.000          | 0.000      |
| 292   | 0   | 0     | 0    | 292 | 0   | GET    | /admin/banned      | 0.004 | 0.060 | 3.276   | 0.011 | 0.024 | 0.028 | 0.056 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 258   | 0   | 258   | 0    | 0   | 0   | GET    | /login             | 0.004 | 0.032 | 1.596   | 0.006 | 0.016 | 0.020 | 0.028 | 0.007  | 615.000    | 615.000     | 158670.000     | 615.000    |
| 129   | 0   | 0     | 129  | 0   | 0   | GET    | /logout            | 0.004 | 0.028 | 0.648   | 0.005 | 0.012 | 0.016 | 0.024 | 0.005  | 24.000     | 24.000      | 3096.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.452 | 0.452 | 0.452   | 0.452 | 0.452 | 0.452 | 0.452 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 22    | 0   | 22    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.036 | 0.396   | 0.018 | 0.032 | 0.032 | 0.036 | 0.010  | 522135.000 | 604162.000  | 12408449.000   | 564020.409 |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
