+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 1494  | 0   | 1494  | 0    | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.648 | 125.290 | 0.084 | 0.292 | 0.392 | 0.524 | 0.118  | 713.000    | 5773.000    | 2624930.000    | 1756.981   |
| 11776 | 0   | 11776 | 0    | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.120 | 122.922 | 0.010 | 0.024 | 0.028 | 0.044 | 0.010  | 36446.000  | 383951.000  | 1248208309.000 | 105995.950 |
| 5525  | 0   | 5525  | 0    | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.232 | 89.269  | 0.016 | 0.028 | 0.036 | 0.052 | 0.011  | 685830.000 | 1221090.000 | 4875166484.000 | 882383.074 |
| 1148  | 0   | 0     | 1148 | 0   | 0   | POST   | /login             | 0.024 | 0.180 | 66.916  | 0.058 | 0.104 | 0.120 | 0.148 | 0.034  | 0.000      | 0.000       | 0.000          | 0.000      |
| 255   | 0   | 255   | 0    | 0   | 0   | GET    | ^/@.*              | 0.028 | 0.436 | 52.531  | 0.206 | 0.324 | 0.360 | 0.428 | 0.080  | 1828.000   | 5118.000    | 838817.000     | 3289.478   |
| 1628  | 0   | 1628  | 0    | 0   | 0   | GET    | /                  | 0.004 | 0.512 | 47.162  | 0.029 | 0.032 | 0.060 | 0.372 | 0.067  | 2589.000   | 6105.000    | 5191061.000    | 3188.612   |
| 285   | 0   | 0     | 285  | 0   | 0   | POST   | /register          | 0.016 | 0.244 | 21.503  | 0.075 | 0.116 | 0.128 | 0.172 | 0.032  | 0.000      | 0.000       | 0.000          | 0.000      |
| 322   | 0   | 0     | 161  | 161 | 0   | POST   | /                  | 0.004 | 0.196 | 14.276  | 0.044 | 0.108 | 0.120 | 0.168 | 0.040  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1673  | 0   | 1673  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.052 | 6.452   | 0.004 | 0.012 | 0.012 | 0.020 | 0.005  | 43.000     | 43.000      | 71939.000      | 43.000     |
| 1673  | 0   | 1673  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.032 | 6.272   | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 1915.000   | 1915.000    | 3203795.000    | 1915.000   |
| 1673  | 0   | 1673  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.080 | 6.244   | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 1549.000   | 1549.000    | 2591477.000    | 1549.000   |
| 1673  | 0   | 1673  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.044 | 5.788   | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 1824.000   | 1824.000    | 3051552.000    | 1824.000   |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 3.724 | 3.724 | 3.724   | 3.724 | 3.724 | 3.724 | 3.724 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 157   | 0   | 0     | 157  | 0   | 0   | POST   | /comment           | 0.004 | 0.144 | 3.468   | 0.022 | 0.040 | 0.044 | 0.068 | 0.015  | 0.000      | 0.000       | 0.000          | 0.000      |
| 285   | 0   | 0     | 0    | 285 | 0   | GET    | /admin/banned      | 0.004 | 0.060 | 3.136   | 0.011 | 0.024 | 0.028 | 0.044 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 256   | 0   | 256   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.024 | 1.472   | 0.006 | 0.012 | 0.020 | 0.020 | 0.006  | 615.000    | 615.000     | 157440.000     | 615.000    |
| 128   | 0   | 0     | 128  | 0   | 0   | GET    | /logout            | 0.000 | 0.032 | 0.660   | 0.005 | 0.012 | 0.016 | 0.024 | 0.005  | 24.000     | 24.000      | 3072.000       | 24.000     |
| 32    | 0   | 32    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.172 | 0.612   | 0.019 | 0.032 | 0.036 | 0.172 | 0.029  | 477481.000 | 606728.000  | 17855106.000   | 557972.062 |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
