+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 1631  | 0   | 1631  | 0    | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.664 | 135.201 | 0.083 | 0.256 | 0.412 | 0.544 | 0.120  | 721.000    | 5766.000    | 2814029.000    | 1725.340   |
| 12563 | 0   | 12563 | 0    | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.004 | 0.120 | 129.175 | 0.010 | 0.020 | 0.028 | 0.044 | 0.009  | 36570.000  | 392815.000  | 1339681860.000 | 106637.098 |
| 5568  | 0   | 5568  | 0    | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.184 | 89.464  | 0.016 | 0.028 | 0.036 | 0.056 | 0.011  | 685823.000 | 1169790.000 | 4999473447.000 | 897893.938 |
| 1161  | 0   | 0     | 1161 | 0   | 0   | POST   | /login             | 0.020 | 0.236 | 67.777  | 0.058 | 0.104 | 0.120 | 0.144 | 0.034  | 0.000      | 0.000       | 0.000          | 0.000      |
| 270   | 0   | 270   | 0    | 0   | 0   | GET    | ^/@.*              | 0.024 | 0.436 | 55.736  | 0.206 | 0.316 | 0.348 | 0.416 | 0.077  | 1870.000   | 5369.000    | 885362.000     | 3279.119   |
| 1668  | 0   | 1668  | 0    | 0   | 0   | GET    | /                  | 0.004 | 0.480 | 45.768  | 0.027 | 0.032 | 0.052 | 0.388 | 0.065  | 2624.000   | 6106.000    | 5273214.000    | 3161.399   |
| 296   | 0   | 0     | 296  | 0   | 0   | POST   | /register          | 0.016 | 0.192 | 21.836  | 0.074 | 0.116 | 0.132 | 0.180 | 0.032  | 0.000      | 0.000       | 0.000          | 0.000      |
| 314   | 0   | 0     | 157  | 157 | 0   | POST   | /                  | 0.008 | 0.212 | 14.260  | 0.045 | 0.112 | 0.128 | 0.188 | 0.044  | 0.000      | 0.000       | 0.000          | 0.000      |
| 155   | 0   | 0     | 155  | 0   | 0   | POST   | /comment           | 0.004 | 0.076 | 3.228   | 0.021 | 0.032 | 0.044 | 0.056 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 296   | 0   | 0     | 0    | 296 | 0   | GET    | /admin/banned      | 0.004 | 0.064 | 3.132   | 0.011 | 0.024 | 0.032 | 0.048 | 0.010  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 3.052 | 3.052 | 3.052   | 3.052 | 3.052 | 3.052 | 3.052 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 264   | 0   | 264   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.032 | 1.432   | 0.005 | 0.012 | 0.016 | 0.028 | 0.006  | 615.000    | 615.000     | 162360.000     | 615.000    |
| 132   | 0   | 0     | 132  | 0   | 0   | GET    | /logout            | 0.000 | 0.032 | 0.716   | 0.005 | 0.012 | 0.016 | 0.028 | 0.006  | 24.000     | 24.000      | 3168.000       | 24.000     |
| 44    | 0   | 44    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.048 | 0.588   | 0.013 | 0.028 | 0.032 | 0.048 | 0.010  | 505275.000 | 690953.000  | 24526836.000   | 557428.091 |
| 1861  | 0   | 1     | 1860 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.980      |
| 1861  | 0   | 1     | 1860 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.832      |
| 1861  | 0   | 1     | 1860 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 1.029      |
| 1861  | 0   | 1     | 1860 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.023      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
