+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 2053  | 0   | 2053 | 0     | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.616 | 129.089 | 0.063 | 0.220 | 0.308 | 0.424 | 0.095  | 705.000    | 5856.000    | 3543934.000    | 1726.222   |
| 2149  | 0   | 0    | 2149  | 0   | 0   | POST   | /login             | 0.020 | 0.176 | 100.531 | 0.047 | 0.092 | 0.104 | 0.128 | 0.031  | 0.000      | 0.000       | 0.000          | 0.000      |
| 38083 | 0   | 9134 | 28949 | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.148 | 77.345  | 0.002 | 0.008 | 0.012 | 0.028 | 0.006  | 39491.000  | 402946.000  | 1031588136.000 | 27087.891  |
| 4115  | 0   | 4115 | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.468 | 71.651  | 0.017 | 0.028 | 0.032 | 0.328 | 0.046  | 2570.000   | 6107.000    | 12025020.000   | 2922.241   |
| 334   | 0   | 334  | 0     | 0   | 0   | GET    | ^/@.*              | 0.020 | 0.440 | 54.458  | 0.163 | 0.260 | 0.284 | 0.372 | 0.070  | 1547.000   | 5475.000    | 1089716.000    | 3262.623   |
| 344   | 0   | 0    | 344   | 0   | 0   | POST   | /register          | 0.016 | 0.184 | 22.232  | 0.065 | 0.100 | 0.124 | 0.136 | 0.029  | 0.000      | 0.000       | 0.000          | 0.000      |
| 378   | 0   | 0    | 189   | 189 | 0   | POST   | /                  | 0.004 | 0.232 | 15.488  | 0.041 | 0.100 | 0.128 | 0.172 | 0.041  | 0.000      | 0.000       | 0.000          | 0.000      |
| 26668 | 0   | 433  | 26235 | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.076 | 6.762   | 0.000 | 0.000 | 0.000 | 0.009 | 0.002  | 784795.000 | 1169799.000 | 414535118.000  | 15544.290  |
| 822   | 0   | 822  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.048 | 4.800   | 0.006 | 0.012 | 0.020 | 0.028 | 0.007  | 615.000    | 615.000     | 505530.000     | 615.000    |
| 194   | 0   | 0    | 194   | 0   | 0   | POST   | /comment           | 0.004 | 0.096 | 3.604   | 0.019 | 0.032 | 0.040 | 0.064 | 0.012  | 0.000      | 0.000       | 0.000          | 0.000      |
| 344   | 0   | 0    | 0     | 344 | 0   | GET    | /admin/banned      | 0.004 | 0.060 | 3.155   | 0.009 | 0.020 | 0.032 | 0.040 | 0.010  | 0.000      | 0.000       | 0.000          | 0.000      |
| 411   | 0   | 0    | 411   | 0   | 0   | GET    | /logout            | 0.004 | 0.048 | 2.228   | 0.005 | 0.012 | 0.016 | 0.036 | 0.007  | 24.000     | 24.000      | 9864.000       | 24.000     |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 0.456 | 0.456 | 0.456   | 0.456 | 0.456 | 0.456 | 0.456 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 18    | 0   | 18   | 0     | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.020 | 0.140   | 0.008 | 0.016 | 0.020 | 0.020 | 0.006  | 507472.000 | 587999.000  | 9884352.000    | 549130.667 |
| 4435  | 0   | 1    | 4434  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.010      |
| 4435  | 0   | 1    | 4434  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.432      |
| 4435  | 0   | 1    | 4434  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.411      |
| 4435  | 0   | 1    | 4434  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.349      |
| 1     | 0   | 0    | 0     | 1   | 0   | GET    | /.env              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 19.000     | 19.000      | 19.000         | 19.000     |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
