+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 1983  | 0   | 1983 | 0     | 0   | 0   | GET    | ^/posts/*          | 0.004 | 0.628 | 128.681 | 0.065 | 0.200 | 0.284 | 0.420 | 0.091  | 718.000    | 5811.000    | 3503939.000    | 1766.989   |
| 2092  | 0   | 0    | 2092  | 0   | 0   | POST   | /login             | 0.004 | 0.204 | 100.337 | 0.048 | 0.096 | 0.108 | 0.136 | 0.033  | 0.000      | 0.000       | 0.000          | 0.000      |
| 36562 | 0   | 9193 | 27369 | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.112 | 82.801  | 0.002 | 0.008 | 0.012 | 0.032 | 0.007  | 48022.000  | 408862.000  | 1052927466.000 | 28798.410  |
| 4019  | 0   | 4019 | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.536 | 75.599  | 0.019 | 0.028 | 0.036 | 0.356 | 0.049  | 2646.000   | 6099.000    | 11966250.000   | 2977.420   |
| 325   | 0   | 325  | 0     | 0   | 0   | GET    | ^/@.*              | 0.020 | 0.560 | 52.423  | 0.161 | 0.248 | 0.300 | 0.396 | 0.074  | 1348.000   | 5475.000    | 1060209.000    | 3262.182   |
| 333   | 0   | 0    | 333   | 0   | 0   | POST   | /register          | 0.016 | 0.176 | 20.844  | 0.063 | 0.104 | 0.120 | 0.148 | 0.030  | 0.000      | 0.000       | 0.000          | 0.000      |
| 372   | 0   | 0    | 186   | 186 | 0   | POST   | /                  | 0.008 | 0.224 | 15.635  | 0.042 | 0.100 | 0.124 | 0.168 | 0.042  | 0.000      | 0.000       | 0.000          | 0.000      |
| 26990 | 0   | 414  | 26576 | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.076 | 6.075   | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833870.000 | 1086666.000 | 389873768.000  | 14445.119  |
| 800   | 0   | 800  | 0     | 0   | 0   | GET    | /login             | 0.008 | 0.076 | 5.220   | 0.007 | 0.016 | 0.024 | 0.036 | 0.008  | 615.000    | 615.000     | 492000.000     | 615.000    |
| 187   | 0   | 0    | 187   | 0   | 0   | POST   | /comment           | 0.004 | 0.088 | 3.772   | 0.020 | 0.040 | 0.048 | 0.068 | 0.013  | 0.000      | 0.000       | 0.000          | 0.000      |
| 333   | 0   | 0    | 0     | 333 | 0   | GET    | /admin/banned      | 0.004 | 0.068 | 3.320   | 0.010 | 0.020 | 0.032 | 0.064 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 400   | 0   | 0    | 400   | 0   | 0   | GET    | /logout            | 0.000 | 0.056 | 2.816   | 0.007 | 0.016 | 0.024 | 0.036 | 0.008  | 24.000     | 24.000      | 9600.000       | 24.000     |
| 54    | 0   | 54   | 0     | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.048 | 0.744   | 0.014 | 0.028 | 0.032 | 0.048 | 0.009  | 465036.000 | 598122.000  | 29576791.000   | 547718.352 |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 0.552 | 0.552 | 0.552   | 0.552 | 0.552 | 0.552 | 0.552 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4302  | 0   | 1    | 4301  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.010      |
| 4302  | 0   | 1    | 4301  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.445      |
| 4302  | 0   | 1    | 4301  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.424      |
| 4302  | 0   | 1    | 4301  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.360      |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
