+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 2112  | 0   | 0    | 2112  | 0   | 0   | POST   | /login             | 0.004 | 0.168 | 102.471 | 0.049 | 0.096 | 0.108 | 0.136 | 0.032  | 0.000      | 0.000       | 0.000          | 0.000      |
| 37693 | 0   | 9292 | 28401 | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.100 | 83.228  | 0.002 | 0.008 | 0.012 | 0.032 | 0.006  | 43886.000  | 400034.000  | 1078957023.000 | 28624.865  |
| 4024  | 0   | 4024 | 0     | 0   | 0   | GET    | /                  | 0.008 | 0.464 | 72.520  | 0.018 | 0.028 | 0.036 | 0.324 | 0.045  | 2614.000   | 6099.000    | 11848885.000   | 2944.554   |
| 240   | 0   | 240  | 0     | 0   | 0   | GET    | /posts             | 0.060 | 0.588 | 66.800  | 0.278 | 0.376 | 0.440 | 0.528 | 0.088  | 4965.000   | 5783.000    | 1281256.000    | 5338.567   |
| 1795  | 0   | 1795 | 0     | 0   | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.224 | 59.991  | 0.033 | 0.068 | 0.088 | 0.128 | 0.027  | 708.000    | 2052.000    | 2292177.000    | 1276.979   |
| 333   | 0   | 333  | 0     | 0   | 0   | GET    | ^/@.*              | 0.020 | 0.408 | 51.738  | 0.155 | 0.240 | 0.300 | 0.324 | 0.063  | 1485.000   | 5255.000    | 1081350.000    | 3247.297   |
| 328   | 0   | 0    | 328   | 0   | 0   | POST   | /register          | 0.016 | 0.200 | 21.499  | 0.066 | 0.112 | 0.128 | 0.160 | 0.032  | 0.000      | 0.000       | 0.000          | 0.000      |
| 374   | 0   | 0    | 187   | 187 | 0   | POST   | /                  | 0.004 | 0.176 | 15.344  | 0.041 | 0.112 | 0.128 | 0.164 | 0.043  | 0.000      | 0.000       | 0.000          | 0.000      |
| 26064 | 0   | 441  | 25623 | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.080 | 6.916   | 0.000 | 0.000 | 0.000 | 0.010 | 0.003  | 833839.000 | 1170492.000 | 418508353.000  | 16056.950  |
| 810   | 0   | 810  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.076 | 5.320   | 0.007 | 0.016 | 0.020 | 0.036 | 0.008  | 615.000    | 615.000     | 498150.000     | 615.000    |
| 195   | 0   | 0    | 195   | 0   | 0   | POST   | /comment           | 0.004 | 0.080 | 3.696   | 0.019 | 0.036 | 0.044 | 0.076 | 0.013  | 0.000      | 0.000       | 0.000          | 0.000      |
| 328   | 0   | 0    | 0     | 328 | 0   | GET    | /admin/banned      | 0.004 | 0.076 | 3.060   | 0.009 | 0.020 | 0.028 | 0.056 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 405   | 0   | 0    | 405   | 0   | 0   | GET    | /logout            | 0.004 | 0.048 | 2.808   | 0.007 | 0.016 | 0.024 | 0.040 | 0.009  | 24.000     | 24.000      | 9720.000       | 24.000     |
| 36    | 0   | 36   | 0     | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.000 | 0.048 | 0.520   | 0.014 | 0.032 | 0.044 | 0.048 | 0.012  | 488737.000 | 583557.000  | 19477169.000   | 541032.472 |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 0.028 | 0.028 | 0.028   | 0.028 | 0.028 | 0.028 | 0.028 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4350  | 0   | 1    | 4349  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.440      |
| 4350  | 0   | 1    | 4349  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.419      |
| 4350  | 0   | 1    | 4349  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.356      |
| 4350  | 0   | 1    | 4349  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.010      |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
