+-------+-----+------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 260   | 0   | 260  | 0     | 0    | 0   | GET    | /posts             | 0.056 | 0.644 | 80.847 | 0.311 | 0.416 | 0.504 | 0.604 | 0.092  | 4965.000   | 5802.000    | 1390915.000    | 5349.673   |
| 6749  | 0   | 6749 | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.520 | 76.815 | 0.011 | 0.016 | 0.020 | 0.332 | 0.042  | 2553.000   | 6100.000    | 19468502.000   | 2884.650   |
| 388   | 0   | 388  | 0     | 0    | 0   | GET    | ^/@.*              | 0.020 | 0.452 | 66.220 | 0.171 | 0.248 | 0.296 | 0.364 | 0.063  | 1600.000   | 5255.000    | 1257521.000    | 3241.034   |
| 2121  | 0   | 2121 | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.244 | 62.534 | 0.029 | 0.056 | 0.068 | 0.100 | 0.022  | 710.000    | 1917.000    | 2638024.000    | 1243.764   |
| 49422 | 0   | 9959 | 39463 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.192 | 54.454 | 0.001 | 0.004 | 0.008 | 0.016 | 0.004  | 36599.000  | 383960.000  | 1120422041.000 | 22670.512  |
| 4265  | 0   | 0    | 4265  | 0    | 0   | POST   | /login             | 0.004 | 0.168 | 24.080 | 0.006 | 0.012 | 0.020 | 0.032 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 624   | 0   | 0    | 312   | 312  | 0   | POST   | /                  | 0.004 | 0.312 | 24.075 | 0.039 | 0.108 | 0.136 | 0.164 | 0.045  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1042  | 0   | 0    | 1042  | 0    | 0   | POST   | /register          | 0.004 | 0.140 | 14.464 | 0.014 | 0.024 | 0.032 | 0.052 | 0.010  | 0.000      | 0.000       | 0.000          | 0.000      |
| 35380 | 0   | 617  | 34763 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.056 | 6.895  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 818248.000 | 1221081.000 | 591465132.000  | 16717.499  |
| 1042  | 0   | 0    | 0     | 1042 | 0   | GET    | /admin/banned      | 0.000 | 0.060 | 5.012  | 0.005 | 0.008 | 0.016 | 0.028 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1578  | 0   | 1578 | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.028 | 3.952  | 0.003 | 0.004 | 0.008 | 0.016 | 0.004  | 615.000    | 615.000     | 970470.000     | 615.000    |
| 232   | 0   | 0    | 232   | 0    | 0   | POST   | /comment           | 0.004 | 0.112 | 3.560  | 0.015 | 0.024 | 0.032 | 0.056 | 0.012  | 0.000      | 0.000       | 0.000          | 0.000      |
| 789   | 0   | 0    | 789   | 0    | 0   | GET    | /logout            | 0.004 | 0.048 | 2.231  | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 24.000     | 24.000      | 18936.000      | 24.000     |
| 1     | 0   | 1    | 0     | 0    | 0   | GET    | /initialize        | 0.556 | 0.556 | 0.556  | 0.556 | 0.556 | 0.556 | 0.556 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 44    | 0   | 44   | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.040 | 0.392  | 0.009 | 0.016 | 0.020 | 0.040 | 0.007  | 465021.000 | 606453.000  | 24385703.000   | 554220.523 |
| 5542  | 0   | 1    | 5541  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.329      |
| 5542  | 0   | 1    | 5541  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.280      |
| 5542  | 0   | 1    | 5541  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.346      |
| 5542  | 0   | 1    | 5541  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.008      |
+-------+-----+------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
