+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+-------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    |  AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+-------------+
| 1469  | 0   | 1469  | 0    | 0   | 0   | GET    | /                  | 0.024 | 1.896 | 347.606 | 0.237 | 0.288 | 0.304 | 0.340 | 0.062  | 5935.000   | 6101.000    | 8801736.000    | 5991.651    |
| 21147 | 0   | 21135 | 12   | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.208 | 72.633  | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 44209.000  | 400041.000  | 2727889856.000 | 128996.541  |
| 307   | 0   | 307   | 0    | 0   | 0   | GET    | ^/@.*              | 0.044 | 0.360 | 59.333  | 0.193 | 0.256 | 0.284 | 0.344 | 0.054  | 1485.000   | 5265.000    | 990725.000     | 3227.117    |
| 2012  | 0   | 2012  | 0    | 0   | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.120 | 46.800  | 0.023 | 0.040 | 0.048 | 0.064 | 0.014  | 704.000    | 1954.000    | 2621416.000    | 1302.891    |
| 276   | 0   | 276   | 0    | 0   | 0   | GET    | /posts             | 0.004 | 0.184 | 17.208  | 0.062 | 0.112 | 0.128 | 0.168 | 0.035  | 991.000    | 3023.000    | 521771.000     | 1890.475    |
| 1024  | 0   | 1016  | 8    | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.040 | 8.459   | 0.008 | 0.012 | 0.016 | 0.024 | 0.004  | 808283.000 | 1057912.000 | 1057069199.000 | 1032294.140 |
| 186   | 0   | 0     | 93   | 93  | 0   | POST   | /                  | 0.004 | 0.284 | 7.992   | 0.043 | 0.140 | 0.152 | 0.196 | 0.056  | 0.000      | 0.000       | 0.000          | 0.000       |
| 906   | 0   | 0     | 906  | 0   | 0   | POST   | /login             | 0.000 | 0.020 | 2.652   | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 0.000      | 0.000       | 0.000          | 0.000       |
| 123   | 0   | 0     | 123  | 0   | 0   | POST   | /comment           | 0.004 | 0.044 | 1.588   | 0.013 | 0.020 | 0.028 | 0.036 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000       |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 1.448 | 1.448 | 1.448   | 1.448 | 1.448 | 1.448 | 1.448 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000       |
| 117   | 0   | 0     | 117  | 0   | 0   | POST   | /register          | 0.004 | 0.040 | 1.400   | 0.012 | 0.020 | 0.024 | 0.028 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000       |
| 117   | 0   | 0     | 0    | 117 | 0   | GET    | /admin/banned      | 0.004 | 0.012 | 0.376   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000      | 0.000       | 0.000          | 0.000       |
| 320   | 0   | 320   | 0    | 0   | 0   | GET    | /login             | 0.004 | 0.004 | 0.372   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 615.000    | 615.000     | 196800.000     | 615.000     |
| 34    | 0   | 34    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.020 | 0.240   | 0.007 | 0.012 | 0.016 | 0.020 | 0.005  | 494816.000 | 606720.000  | 18777234.000   | 552271.588  |
| 160   | 0   | 0     | 160  | 0   | 0   | GET    | /logout            | 0.000 | 0.008 | 0.152   | 0.001 | 0.004 | 0.004 | 0.004 | 0.002  | 24.000     | 24.000      | 3840.000       | 24.000      |
| 2906  | 0   | 1     | 2905 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.533       |
| 2906  | 0   | 1     | 2905 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.628       |
| 2906  | 0   | 1     | 2905 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.659       |
| 2906  | 0   | 1     | 2905 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.015       |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+-------------+
