+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 260   | 0   | 260   | 0     | 0   | 0   | GET    | /posts             | 0.060 | 0.612 | 80.175 | 0.308 | 0.416 | 0.480 | 0.588 | 0.082  | 4965.000   | 5841.000    | 1389458.000    | 5344.069   |
| 6629  | 0   | 6629  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.480 | 74.828 | 0.011 | 0.012 | 0.020 | 0.348 | 0.041  | 2562.000   | 6103.000    | 19331976.000   | 2916.273   |
| 382   | 0   | 382   | 0     | 0   | 0   | GET    | ^/@.*              | 0.036 | 0.412 | 66.872 | 0.175 | 0.252 | 0.296 | 0.396 | 0.062  | 1655.000   | 5475.000    | 1266794.000    | 3316.215   |
| 2117  | 0   | 2117  | 0     | 0   | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.284 | 61.883 | 0.029 | 0.056 | 0.068 | 0.100 | 0.023  | 700.000    | 1991.000    | 2634883.000    | 1244.631   |
| 49995 | 0   | 10036 | 39959 | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.208 | 55.011 | 0.001 | 0.004 | 0.008 | 0.016 | 0.004  | 49308.000  | 376991.000  | 1136999637.000 | 22742.267  |
| 622   | 0   | 0     | 311   | 311 | 0   | POST   | /                  | 0.000 | 0.272 | 24.140 | 0.039 | 0.108 | 0.128 | 0.160 | 0.044  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4193  | 0   | 0     | 4193  | 0   | 0   | POST   | /login             | 0.000 | 0.084 | 23.648 | 0.006 | 0.012 | 0.020 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 995   | 0   | 0     | 995   | 0   | 0   | POST   | /register          | 0.004 | 0.148 | 15.332 | 0.015 | 0.028 | 0.036 | 0.060 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 995   | 0   | 0     | 0     | 995 | 0   | GET    | /admin/banned      | 0.004 | 0.060 | 5.176  | 0.005 | 0.012 | 0.016 | 0.032 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1560  | 0   | 1560  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.056 | 4.468  | 0.003 | 0.008 | 0.012 | 0.016 | 0.004  | 615.000    | 615.000     | 959400.000     | 615.000    |
| 34236 | 0   | 417   | 33819 | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.044 | 4.424  | 0.000 | 0.000 | 0.000 | 0.006 | 0.001  | 833815.000 | 1155222.000 | 381597502.000  | 11146.089  |
| 236   | 0   | 0     | 236   | 0   | 0   | POST   | /comment           | 0.004 | 0.160 | 4.135  | 0.018 | 0.028 | 0.036 | 0.084 | 0.015  | 0.000      | 0.000       | 0.000          | 0.000      |
| 780   | 0   | 0     | 780   | 0   | 0   | GET    | /logout            | 0.000 | 0.040 | 2.120  | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 24.000     | 24.000      | 18720.000      | 24.000     |
| 40    | 0   | 40    | 0     | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.036 | 0.464  | 0.012 | 0.024 | 0.028 | 0.036 | 0.009  | 492348.000 | 596841.000  | 21461057.000   | 536526.425 |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.276 | 0.276 | 0.276  | 0.276 | 0.276 | 0.276 | 0.276 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 5497  | 0   | 1     | 5496  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.332      |
| 5497  | 0   | 1     | 5496  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.282      |
| 5497  | 0   | 1     | 5496  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.348      |
| 5497  | 0   | 1     | 5496  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.008      |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
