+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 6343  | 0   | 6343  | 0     | 0   | 0   | GET    | /                  | 0.004 | 1.020 | 79.892 | 0.013 | 0.016 | 0.024 | 0.340 | 0.045  | 2598.000   | 6105.000    | 18606057.000   | 2933.321   |
| 300   | 0   | 300   | 0     | 0   | 0   | GET    | /posts             | 0.060 | 0.568 | 72.334 | 0.241 | 0.308 | 0.424 | 0.488 | 0.070  | 4965.000   | 5800.000    | 1605409.000    | 5351.363   |
| 47350 | 0   | 11373 | 35977 | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.148 | 65.011 | 0.001 | 0.004 | 0.008 | 0.020 | 0.004  | 49308.000  | 392141.000  | 1302969345.000 | 27517.832  |
| 465   | 0   | 465   | 0     | 0   | 0   | GET    | ^/@.*              | 0.032 | 0.584 | 62.210 | 0.134 | 0.200 | 0.224 | 0.376 | 0.059  | 1485.000   | 5470.000    | 1537562.000    | 3306.585   |
| 2396  | 0   | 2396  | 0     | 0   | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.256 | 56.095 | 0.023 | 0.044 | 0.060 | 0.100 | 0.021  | 701.000    | 2020.000    | 3008925.000    | 1255.812   |
| 572   | 0   | 0     | 286   | 286 | 0   | POST   | /                  | 0.000 | 0.268 | 26.187 | 0.046 | 0.140 | 0.160 | 0.200 | 0.054  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4005  | 0   | 0     | 4005  | 0   | 0   | POST   | /login             | 0.000 | 0.184 | 24.240 | 0.006 | 0.016 | 0.020 | 0.040 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 949   | 0   | 0     | 949   | 0   | 0   | POST   | /register          | 0.004 | 0.104 | 14.932 | 0.016 | 0.028 | 0.036 | 0.064 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 34174 | 0   | 527   | 33647 | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.116 | 6.258  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 0.000      | 1155222.000 | 496116182.000  | 14517.358  |
| 949   | 0   | 0     | 0     | 949 | 0   | GET    | /admin/banned      | 0.004 | 0.076 | 5.240  | 0.006 | 0.012 | 0.020 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1462  | 0   | 1462  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.060 | 4.903  | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 615.000    | 615.000     | 899130.000     | 615.000    |
| 291   | 0   | 0     | 291   | 0   | 0   | POST   | /comment           | 0.004 | 0.076 | 4.544  | 0.016 | 0.028 | 0.040 | 0.060 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 731   | 0   | 0     | 731   | 0   | 0   | GET    | /logout            | 0.004 | 0.036 | 2.392  | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 24.000     | 24.000      | 17544.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.860 | 0.860 | 0.860  | 0.860 | 0.860 | 0.860 | 0.860 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 40    | 0   | 40    | 0     | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.032 | 0.468  | 0.012 | 0.020 | 0.024 | 0.032 | 0.007  | 465139.000 | 598852.000  | 21739637.000   | 543490.925 |
| 5575  | 0   | 1     | 5574  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.327      |
| 5575  | 0   | 1     | 5574  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.278      |
| 5575  | 0   | 1     | 5574  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.343      |
| 5575  | 0   | 1     | 5574  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.008      |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
