+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 1676  | 0   | 1676  | 0    | 0   | 0   | GET    | /                  | 0.000 | 6.416 | 284.580 | 0.170 | 0.024 | 0.032 | 6.247 | 0.956  | 4626.000   | 5193.000    | 8539179.000    | 5094.976   |
| 13954 | 0   | 13720 | 234  | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.452 | 110.734 | 0.008 | 0.016 | 0.024 | 0.052 | 0.017  | 48015.000  | 408871.000  | 1720549503.000 | 123301.527 |
| 135   | 0   | 135   | 0    | 0   | 0   | GET    | /posts             | 0.052 | 5.991 | 78.883  | 0.584 | 0.380 | 4.712 | 5.868 | 1.230  | 5011.000   | 5773.000    | 719018.000     | 5326.059   |
| 1044  | 0   | 1044  | 0    | 0   | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 1.844 | 61.696  | 0.059 | 0.060 | 0.088 | 1.184 | 0.179  | 733.000    | 1992.000    | 1325326.000    | 1269.469   |
| 202   | 0   | 202   | 0    | 0   | 0   | GET    | ^/@.*              | 0.016 | 5.807 | 49.695  | 0.246 | 0.232 | 0.276 | 4.944 | 0.656  | 1348.000   | 5356.000    | 660285.000     | 3268.738   |
| 242   | 0   | 0     | 121  | 121 | 0   | POST   | /                  | 0.004 | 0.224 | 13.336  | 0.055 | 0.148 | 0.172 | 0.208 | 0.059  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1131  | 0   | 697   | 434  | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.448 | 9.910   | 0.009 | 0.020 | 0.025 | 0.048 | 0.018  | 833870.000 | 1170492.000 | 707647353.000  | 625682.894 |
| 1128  | 0   | 0     | 1128 | 0   | 0   | POST   | /login             | 0.000 | 0.072 | 7.884   | 0.007 | 0.016 | 0.020 | 0.040 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 389   | 0   | 0     | 389  | 0   | 0   | POST   | /register          | 0.004 | 0.080 | 6.524   | 0.017 | 0.028 | 0.040 | 0.060 | 0.010  | 0.000      | 0.000       | 0.000          | 0.000      |
| 389   | 0   | 0     | 0    | 389 | 0   | GET    | /admin/banned      | 0.000 | 0.072 | 2.752   | 0.007 | 0.016 | 0.020 | 0.052 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 122   | 0   | 0     | 122  | 0   | 0   | POST   | /comment           | 0.004 | 0.044 | 1.904   | 0.016 | 0.028 | 0.036 | 0.044 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 250   | 0   | 250   | 0    | 0   | 0   | GET    | /login             | 0.000 | 0.020 | 0.700   | 0.003 | 0.004 | 0.008 | 0.016 | 0.003  | 615.000    | 615.000     | 153750.000     | 615.000    |
| 125   | 0   | 0     | 125  | 0   | 0   | GET    | /logout            | 0.004 | 0.032 | 0.404   | 0.003 | 0.008 | 0.008 | 0.024 | 0.005  | 24.000     | 24.000      | 3000.000       | 24.000     |
| 1     | 0   | 1     | 0    | 0   | 0   | GET    | /initialize        | 0.352 | 0.352 | 0.352   | 0.352 | 0.352 | 0.352 | 0.352 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 18    | 0   | 18    | 0    | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.176 | 0.336   | 0.019 | 0.028 | 0.176 | 0.176 | 0.039  | 515395.000 | 675445.000  | 10252416.000   | 569578.667 |
| 1415  | 0   | 1     | 1414 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 1.289      |
| 1415  | 0   | 1     | 1414 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 1.095      |
| 1415  | 0   | 1     | 1414 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 1.353      |
| 1415  | 0   | 1     | 1414 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.030      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
