+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 6543  | 0   | 6543  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.488 | 77.511 | 0.012 | 0.016 | 0.024 | 0.312 | 0.040  | 2567.000   | 6104.000    | 19370786.000   | 2960.536   |
| 45995 | 0   | 10713 | 35282 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.260 | 77.357 | 0.002 | 0.004 | 0.008 | 0.024 | 0.009  | 49295.000  | 380928.000  | 1206967070.000 | 26241.267  |
| 300   | 0   | 300   | 0     | 0    | 0   | GET    | /posts             | 0.060 | 1.908 | 70.631 | 0.235 | 0.280 | 0.372 | 0.464 | 0.138  | 4937.000   | 5785.000    | 1602380.000    | 5341.267   |
| 484   | 0   | 484   | 0     | 0    | 0   | GET    | ^/@.*              | 0.040 | 0.724 | 62.527 | 0.129 | 0.196 | 0.240 | 0.392 | 0.071  | 1624.000   | 5369.000    | 1554318.000    | 3211.401   |
| 2390  | 0   | 2390  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.240 | 54.426 | 0.023 | 0.044 | 0.064 | 0.108 | 0.023  | 704.000    | 1994.000    | 3022611.000    | 1264.691   |
| 570   | 0   | 0     | 285   | 285  | 0   | POST   | /                  | 0.000 | 0.436 | 26.711 | 0.047 | 0.140 | 0.160 | 0.196 | 0.060  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4098  | 0   | 0     | 4098  | 0    | 0   | POST   | /login             | 0.004 | 0.092 | 24.168 | 0.006 | 0.012 | 0.020 | 0.044 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1042  | 0   | 0     | 1042  | 0    | 0   | POST   | /register          | 0.004 | 0.084 | 13.884 | 0.013 | 0.024 | 0.032 | 0.048 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 35538 | 0   | 410   | 35128 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.212 | 5.356  | 0.000 | 0.000 | 0.000 | 0.004 | 0.002  | 833847.000 | 1220844.000 | 370715887.000  | 10431.535  |
| 1042  | 0   | 0     | 0     | 1042 | 0   | GET    | /admin/banned      | 0.008 | 0.052 | 5.152  | 0.005 | 0.012 | 0.020 | 0.032 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1454  | 0   | 1454  | 0     | 0    | 0   | GET    | /login             | 0.012 | 0.052 | 4.948  | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 615.000    | 615.000     | 894210.000     | 615.000    |
| 305   | 0   | 0     | 305   | 0    | 0   | POST   | /comment           | 0.004 | 0.084 | 4.356  | 0.014 | 0.028 | 0.040 | 0.056 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 727   | 0   | 0     | 727   | 0    | 0   | GET    | /logout            | 0.000 | 0.048 | 2.512  | 0.003 | 0.008 | 0.012 | 0.028 | 0.006  | 24.000     | 24.000      | 17448.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 1.080 | 1.080 | 1.080  | 1.080 | 1.080 | 1.080 | 1.080 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 32    | 0   | 32    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.044 | 0.320  | 0.010 | 0.024 | 0.036 | 0.044 | 0.010  | 465154.000 | 675445.000  | 17570530.000   | 549079.062 |
| 5563  | 0   | 1     | 5562  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.328      |
| 5563  | 0   | 1     | 5562  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.278      |
| 5563  | 0   | 1     | 5562  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.344      |
| 5563  | 0   | 1     | 5562  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.008      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
