+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 6486  | 0   | 6486  | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.440 | 77.282 | 0.012 | 0.016 | 0.024 | 0.304 | 0.039  | 2531.000   | 6102.000    | 18686175.000   | 2881.001   |
| 320   | 0   | 320   | 0     | 0   | 0   | GET    | /posts             | 0.060 | 0.632 | 73.030 | 0.228 | 0.292 | 0.396 | 0.480 | 0.075  | 5006.000   | 5809.000    | 1712856.000    | 5352.675   |
| 48243 | 0   | 11843 | 36400 | 0   | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.340 | 69.378 | 0.001 | 0.004 | 0.008 | 0.020 | 0.005  | 39491.000  | 392831.000  | 1349359677.000 | 27970.062  |
| 481   | 0   | 481   | 0     | 0   | 0   | GET    | ^/@.*              | 0.040 | 0.492 | 61.891 | 0.129 | 0.196 | 0.216 | 0.348 | 0.056  | 1348.000   | 5535.000    | 1564970.000    | 3253.576   |
| 2405  | 0   | 2405  | 0     | 0   | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.200 | 54.204 | 0.023 | 0.044 | 0.056 | 0.092 | 0.019  | 704.000    | 1981.000    | 3035321.000    | 1262.088   |
| 574   | 0   | 0     | 287   | 287 | 0   | POST   | /                  | 0.004 | 0.364 | 27.267 | 0.048 | 0.136 | 0.164 | 0.200 | 0.057  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4071  | 0   | 0     | 4071  | 0   | 0   | POST   | /login             | 0.004 | 0.104 | 23.975 | 0.006 | 0.016 | 0.020 | 0.036 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 993   | 0   | 0     | 993   | 0   | 0   | POST   | /register          | 0.004 | 0.132 | 14.300 | 0.014 | 0.024 | 0.032 | 0.052 | 0.010  | 0.000      | 0.000       | 0.000          | 0.000      |
| 34578 | 0   | 540   | 34038 | 0   | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.064 | 5.948  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833870.000 | 1266546.000 | 505790851.000  | 14627.533  |
| 993   | 0   | 0     | 0     | 993 | 0   | GET    | /admin/banned      | 0.004 | 0.088 | 5.248  | 0.005 | 0.012 | 0.020 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1470  | 0   | 1470  | 0     | 0   | 0   | GET    | /login             | 0.000 | 0.044 | 4.748  | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 615.000    | 615.000     | 904050.000     | 615.000    |
| 299   | 0   | 0     | 299   | 0   | 0   | POST   | /comment           | 0.004 | 0.076 | 4.544  | 0.015 | 0.028 | 0.036 | 0.064 | 0.011  | 0.000      | 0.000       | 0.000          | 0.000      |
| 735   | 0   | 0     | 735   | 0   | 0   | GET    | /logout            | 0.000 | 0.044 | 2.652  | 0.004 | 0.008 | 0.016 | 0.028 | 0.006  | 24.000     | 24.000      | 17640.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0   | 0   | GET    | /initialize        | 0.656 | 0.656 | 0.656  | 0.656 | 0.656 | 0.656 | 0.656 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 44    | 0   | 44    | 0     | 0   | 0   | GET    | ^/image/[0-9]+.gif | 0.000 | 0.048 | 0.540  | 0.012 | 0.024 | 0.044 | 0.048 | 0.010  | 477474.000 | 690945.000  | 24980524.000   | 567739.182 |
| 5628  | 0   | 1     | 5627  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.324      |
| 5628  | 0   | 1     | 5627  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.275      |
| 5628  | 0   | 1     | 5627  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.340      |
| 5628  | 0   | 1     | 5627  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.008      |
+-------+-----+-------+-------+-----+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
