+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 320   | 0   | 320   | 0     | 0    | 0   | GET    | /posts             | 0.052 | 0.640 | 71.156 | 0.222 | 0.276 | 0.304 | 0.540 | 0.064  | 4908.000   | 5785.000    | 1709781.000    | 5343.066   |
| 44783 | 0   | 12120 | 32663 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.180 | 70.641 | 0.002 | 0.004 | 0.008 | 0.020 | 0.005  | 47303.000  | 408493.000  | 1405164146.000 | 31377.178  |
| 499   | 0   | 499   | 0     | 0    | 0   | GET    | ^/@.*              | 0.040 | 0.472 | 64.835 | 0.130 | 0.188 | 0.204 | 0.304 | 0.052  | 1545.000   | 5190.000    | 1625074.000    | 3256.661   |
| 2488  | 0   | 2488  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.140 | 55.432 | 0.022 | 0.044 | 0.052 | 0.076 | 0.016  | 702.000    | 1959.000    | 3134891.000    | 1260.004   |
| 6960  | 0   | 6960  | 0     | 0    | 0   | GET    | /                  | 0.000 | 0.240 | 53.632 | 0.008 | 0.016 | 0.020 | 0.036 | 0.008  | 2614.000   | 2938.000    | 19273087.000   | 2769.122   |
| 596   | 0   | 0     | 298   | 298  | 0   | POST   | /                  | 0.004 | 0.352 | 29.031 | 0.049 | 0.136 | 0.164 | 0.196 | 0.060  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4378  | 0   | 0     | 4378  | 0    | 0   | POST   | /login             | 0.004 | 0.060 | 25.648 | 0.006 | 0.012 | 0.020 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1077  | 0   | 0     | 1077  | 0    | 0   | POST   | /register          | 0.004 | 0.096 | 15.000 | 0.014 | 0.024 | 0.032 | 0.052 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 43519 | 0   | 537   | 42982 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.116 | 6.630  | 0.000 | 0.000 | 0.000 | 0.006 | 0.002  | 833855.000 | 1266537.000 | 498365551.000  | 11451.677  |
| 1077  | 0   | 0     | 0     | 1077 | 0   | GET    | /admin/banned      | 0.004 | 0.044 | 5.908  | 0.005 | 0.012 | 0.020 | 0.032 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1594  | 0   | 1594  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.052 | 5.132  | 0.003 | 0.008 | 0.012 | 0.024 | 0.005  | 615.000    | 615.000     | 980310.000     | 615.000    |
| 314   | 0   | 0     | 314   | 0    | 0   | POST   | /comment           | 0.004 | 0.092 | 4.500  | 0.014 | 0.024 | 0.032 | 0.040 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 797   | 0   | 0     | 797   | 0    | 0   | GET    | /logout            | 0.004 | 0.032 | 2.508  | 0.003 | 0.008 | 0.012 | 0.024 | 0.004  | 24.000     | 24.000      | 19128.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.828 | 0.828 | 0.828  | 0.828 | 0.828 | 0.828 | 0.828 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 68    | 0   | 68    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.036 | 0.716  | 0.011 | 0.020 | 0.028 | 0.036 | 0.007  | 459157.000 | 690976.000  | 38171419.000   | 561344.397 |
| 5957  | 0   | 1     | 5956  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.306      |
| 5957  | 0   | 1     | 5956  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.260      |
| 5957  | 0   | 1     | 5956  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.321      |
| 5957  | 0   | 1     | 5956  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.007      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
