+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 56631 | 0   | 17278 | 39353 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.228 | 81.643 | 0.001 | 0.004 | 0.008 | 0.012 | 0.005  | 39491.000  | 384133.000  | 1949932563.000 | 34432.247  |
| 620   | 0   | 620   | 0     | 0    | 0   | GET    | ^/@.*              | 0.036 | 0.796 | 63.788 | 0.103 | 0.140 | 0.164 | 0.260 | 0.058  | 1623.000   | 5312.000    | 2025757.000    | 3267.350   |
| 3038  | 0   | 3038  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.268 | 50.202 | 0.017 | 0.028 | 0.032 | 0.048 | 0.011  | 702.000    | 1968.000    | 3831596.000    | 1261.223   |
| 7860  | 0   | 7860  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.355 | 47.419 | 0.006 | 0.012 | 0.012 | 0.020 | 0.007  | 2604.000   | 2910.000    | 21568654.000   | 2744.104   |
| 540   | 0   | 540   | 0     | 0    | 0   | GET    | /posts             | 0.012 | 0.248 | 44.388 | 0.082 | 0.112 | 0.128 | 0.164 | 0.027  | 2146.000   | 2411.000    | 1231016.000    | 2279.659   |
| 688   | 0   | 0     | 344   | 344  | 0   | POST   | /                  | 0.000 | 0.276 | 29.104 | 0.042 | 0.128 | 0.148 | 0.188 | 0.052  | 0.000      | 0.000       | 0.000          | 0.000      |
| 5027  | 0   | 0     | 5027  | 0    | 0   | POST   | /login             | 0.000 | 0.028 | 18.239 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1307  | 0   | 0     | 1307  | 0    | 0   | POST   | /register          | 0.004 | 0.080 | 14.839 | 0.011 | 0.020 | 0.024 | 0.032 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 42261 | 0   | 677   | 41584 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.136 | 7.458  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833870.000 | 1170469.000 | 620757308.000  | 14688.656  |
| 398   | 0   | 0     | 398   | 0    | 0   | POST   | /comment           | 0.004 | 0.080 | 4.771  | 0.012 | 0.020 | 0.024 | 0.040 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1307  | 0   | 0     | 0     | 1307 | 0   | GET    | /admin/banned      | 0.004 | 0.028 | 4.724  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1756  | 0   | 1756  | 0     | 0    | 0   | GET    | /login             | 0.004 | 0.020 | 3.644  | 0.002 | 0.004 | 0.008 | 0.008 | 0.003  | 615.000    | 615.000     | 1079940.000    | 615.000    |
| 878   | 0   | 0     | 878   | 0    | 0   | GET    | /logout            | 0.000 | 0.024 | 1.640  | 0.002 | 0.004 | 0.008 | 0.008 | 0.003  | 24.000     | 24.000      | 21072.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.820 | 0.820 | 0.820  | 0.820 | 0.820 | 0.820 | 0.820 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 44    | 0   | 44    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.020 | 0.368  | 0.008 | 0.016 | 0.016 | 0.020 | 0.004  | 515314.000 | 606692.000  | 24561596.000   | 558218.091 |
| 6678  | 0   | 1     | 6677  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.273      |
| 6678  | 0   | 1     | 6677  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.232      |
| 6678  | 0   | 1     | 6677  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.287      |
| 6678  | 0   | 1     | 6677  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
