+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 57518 | 0   | 15961 | 41557 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.304 | 78.681 | 0.001 | 0.004 | 0.008 | 0.012 | 0.005  | 49308.000  | 392815.000  | 1813399703.000 | 31527.517  |
| 599   | 0   | 599   | 0     | 0    | 0   | GET    | ^/@.*              | 0.036 | 0.692 | 63.791 | 0.106 | 0.140 | 0.164 | 0.456 | 0.062  | 1567.000   | 5475.000    | 1954117.000    | 3262.299   |
| 480   | 0   | 480   | 0     | 0    | 0   | GET    | /posts             | 0.016 | 0.272 | 51.890 | 0.108 | 0.144 | 0.168 | 0.216 | 0.033  | 4974.000   | 5798.000    | 2570613.000    | 5355.444   |
| 2986  | 0   | 2986  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.168 | 51.231 | 0.017 | 0.028 | 0.032 | 0.048 | 0.011  | 701.000    | 1981.000    | 3771096.000    | 1262.926   |
| 7758  | 0   | 7758  | 0     | 0    | 0   | GET    | /                  | 0.000 | 0.344 | 48.636 | 0.006 | 0.012 | 0.012 | 0.024 | 0.008  | 2573.000   | 6097.000    | 22690229.000   | 2924.752   |
| 680   | 0   | 0     | 340   | 340  | 0   | POST   | /                  | 0.004 | 0.592 | 28.980 | 0.043 | 0.128 | 0.144 | 0.184 | 0.056  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4966  | 0   | 0     | 4966  | 0    | 0   | POST   | /login             | 0.000 | 0.044 | 17.884 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1291  | 0   | 0     | 1291  | 0    | 0   | POST   | /register          | 0.004 | 0.088 | 15.748 | 0.012 | 0.020 | 0.024 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 39230 | 0   | 593   | 38637 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.080 | 6.464  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833855.000 | 1199273.000 | 539035092.000  | 13740.380  |
| 379   | 0   | 0     | 379   | 0    | 0   | POST   | /comment           | 0.004 | 0.088 | 4.904  | 0.013 | 0.020 | 0.024 | 0.072 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1291  | 0   | 0     | 0     | 1291 | 0   | GET    | /admin/banned      | 0.000 | 0.024 | 4.516  | 0.003 | 0.008 | 0.008 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1744  | 0   | 1744  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.016 | 3.492  | 0.002 | 0.004 | 0.004 | 0.008 | 0.003  | 615.000    | 615.000     | 1072560.000    | 615.000    |
| 872   | 0   | 0     | 872   | 0    | 0   | GET    | /logout            | 0.000 | 0.020 | 1.628  | 0.002 | 0.004 | 0.004 | 0.008 | 0.003  | 24.000     | 24.000      | 20928.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.732 | 0.732 | 0.732  | 0.732 | 0.732 | 0.732 | 0.732 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 66    | 0   | 66    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.080 | 0.588  | 0.009 | 0.016 | 0.016 | 0.080 | 0.010  | 495678.000 | 604156.000  | 36633449.000   | 555052.258 |
| 6604  | 0   | 1     | 6603  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.276      |
| 6604  | 0   | 1     | 6603  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.235      |
| 6604  | 0   | 1     | 6603  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.290      |
| 6604  | 0   | 1     | 6603  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.007      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
