+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 568   | 0   | 568   | 0     | 0    | 0   | GET    | ^/@.*              | 0.048 | 6.540 | 74.419 | 0.131 | 0.164 | 0.176 | 0.268 | 0.271  | 1567.000   | 5541.000    | 1870882.000    | 3293.806   |
| 55547 | 0   | 15345 | 40202 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.076 | 68.202 | 0.001 | 0.004 | 0.008 | 0.012 | 0.003  | 48015.000  | 400041.000  | 1714028736.000 | 30857.269  |
| 480   | 0   | 480   | 0     | 0    | 0   | GET    | /posts             | 0.016 | 0.268 | 52.962 | 0.110 | 0.144 | 0.160 | 0.216 | 0.030  | 4952.000   | 5880.000    | 2567833.000    | 5349.652   |
| 2893  | 0   | 2893  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.020 | 0.088 | 49.812 | 0.017 | 0.028 | 0.032 | 0.044 | 0.009  | 705.000    | 2028.000    | 3641487.000    | 1258.723   |
| 7709  | 0   | 7709  | 0     | 0    | 0   | GET    | /                  | 0.020 | 0.144 | 48.964 | 0.006 | 0.012 | 0.016 | 0.024 | 0.007  | 2554.000   | 6104.000    | 22074061.000   | 2863.414   |
| 662   | 0   | 0     | 331   | 331  | 0   | POST   | /                  | 0.000 | 0.324 | 29.371 | 0.044 | 0.132 | 0.152 | 0.184 | 0.054  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4926  | 0   | 0     | 4926  | 0    | 0   | POST   | /login             | 0.004 | 0.028 | 18.432 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1266  | 0   | 0     | 1266  | 0    | 0   | POST   | /register          | 0.004 | 0.124 | 15.335 | 0.012 | 0.020 | 0.024 | 0.032 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 41942 | 0   | 788   | 41154 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.080 | 8.759  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833855.000 | 1253013.000 | 744909977.000  | 17760.478  |
| 1266  | 0   | 0     | 0     | 1266 | 0   | GET    | /admin/banned      | 0.000 | 0.024 | 4.656  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 355   | 0   | 0     | 355   | 0    | 0   | POST   | /comment           | 0.004 | 0.044 | 4.280  | 0.012 | 0.020 | 0.024 | 0.036 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1762  | 0   | 1762  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.016 | 3.776  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1083630.000    | 615.000    |
| 881   | 0   | 0     | 881   | 0    | 0   | GET    | /logout            | 0.000 | 0.020 | 1.736  | 0.002 | 0.004 | 0.004 | 0.012 | 0.003  | 24.000     | 24.000      | 21144.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.808 | 0.808 | 0.808  | 0.808 | 0.808 | 0.808 | 0.808 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 56    | 0   | 56    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.028 | 0.480  | 0.009 | 0.016 | 0.020 | 0.028 | 0.006  | 477473.000 | 601818.000  | 31122555.000   | 555759.911 |
| 6580  | 0   | 1     | 6579  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.277      |
| 6580  | 0   | 1     | 6579  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.235      |
| 6580  | 0   | 1     | 6579  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.291      |
| 6580  | 0   | 1     | 6579  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.007      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
