+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 590   | 0   | 590   | 0     | 0    | 0   | GET    | ^/@.*              | 0.052 | 5.156 | 75.687 | 0.128 | 0.160 | 0.180 | 0.292 | 0.211  | 1566.000   | 5266.000    | 1904684.000    | 3228.278   |
| 59068 | 0   | 15756 | 43312 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.052 | 67.536 | 0.001 | 0.004 | 0.008 | 0.012 | 0.003  | 49295.000  | 408879.000  | 1755012530.000 | 29711.731  |
| 480   | 0   | 480   | 0     | 0    | 0   | GET    | /posts             | 0.016 | 0.252 | 52.670 | 0.110 | 0.148 | 0.160 | 0.208 | 0.030  | 4965.000   | 5838.000    | 2567621.000    | 5349.210   |
| 7886  | 0   | 7886  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.124 | 48.556 | 0.006 | 0.012 | 0.012 | 0.024 | 0.006  | 2556.000   | 6103.000    | 22688510.000   | 2877.062   |
| 2971  | 0   | 2971  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.008 | 0.068 | 44.668 | 0.015 | 0.024 | 0.032 | 0.040 | 0.008  | 697.000    | 1981.000    | 3744938.000    | 1260.497   |
| 702   | 0   | 0     | 351   | 351  | 0   | POST   | /                  | 0.004 | 0.232 | 29.739 | 0.042 | 0.132 | 0.152 | 0.184 | 0.052  | 0.000      | 0.000       | 0.000          | 0.000      |
| 5043  | 0   | 0     | 5043  | 0    | 0   | POST   | /login             | 0.000 | 0.040 | 18.883 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1272  | 0   | 0     | 1272  | 0    | 0   | POST   | /register          | 0.004 | 0.084 | 15.004 | 0.012 | 0.020 | 0.024 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 40877 | 0   | 585   | 40292 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.064 | 6.167  | 0.000 | 0.000 | 0.000 | 0.008 | 0.001  | 833855.000 | 1199250.000 | 526326520.000  | 12875.860  |
| 1272  | 0   | 0     | 0     | 1272 | 0   | GET    | /admin/banned      | 0.000 | 0.028 | 4.912  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 363   | 0   | 0     | 363   | 0    | 0   | POST   | /comment           | 0.004 | 0.068 | 4.340  | 0.012 | 0.020 | 0.024 | 0.040 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1804  | 0   | 1804  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.020 | 3.432  | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 615.000    | 615.000     | 1109460.000    | 615.000    |
| 902   | 0   | 0     | 902   | 0    | 0   | GET    | /logout            | 0.000 | 0.024 | 1.744  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 21648.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.720 | 0.720 | 0.720  | 0.720 | 0.720 | 0.720 | 0.720 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 60    | 0   | 60    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.036 | 0.520  | 0.009 | 0.012 | 0.016 | 0.036 | 0.006  | 505410.000 | 690968.000  | 33704320.000   | 561738.667 |
| 6761  | 0   | 1     | 6760  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.270      |
| 6761  | 0   | 1     | 6760  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.229      |
| 6761  | 0   | 1     | 6760  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.283      |
| 6761  | 0   | 1     | 6760  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
