+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 589   | 0   | 589   | 0     | 0    | 0   | GET    | ^/@.*              | 0.048 | 6.164 | 76.502 | 0.130 | 0.156 | 0.180 | 0.292 | 0.252  | 1567.000   | 5255.000    | 1904176.000    | 3232.896   |
| 55452 | 0   | 15631 | 39821 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.048 | 67.707 | 0.001 | 0.004 | 0.008 | 0.012 | 0.003  | 42800.000  | 376991.000  | 1749121221.000 | 31542.978  |
| 480   | 0   | 480   | 0     | 0    | 0   | GET    | /posts             | 0.044 | 0.276 | 53.491 | 0.111 | 0.140 | 0.156 | 0.232 | 0.030  | 4984.000   | 5817.000    | 2568301.000    | 5350.627   |
| 7942  | 0   | 7942  | 0     | 0    | 0   | GET    | /                  | 0.000 | 0.788 | 49.448 | 0.006 | 0.012 | 0.012 | 0.024 | 0.011  | 2549.000   | 6106.000    | 23053219.000   | 2902.697   |
| 2964  | 0   | 2964  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.084 | 44.374 | 0.015 | 0.028 | 0.032 | 0.040 | 0.009  | 704.000    | 2026.000    | 3741859.000    | 1262.436   |
| 690   | 0   | 0     | 345   | 345  | 0   | POST   | /                  | 0.004 | 0.224 | 30.074 | 0.044 | 0.132 | 0.152 | 0.184 | 0.051  | 0.000      | 0.000       | 0.000          | 0.000      |
| 5091  | 0   | 0     | 5091  | 0    | 0   | POST   | /login             | 0.000 | 0.032 | 18.255 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1296  | 0   | 0     | 1296  | 0    | 0   | POST   | /register          | 0.004 | 0.100 | 15.511 | 0.012 | 0.020 | 0.024 | 0.040 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 44815 | 0   | 568   | 44247 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.116 | 5.915  | 0.000 | 0.000 | 0.000 | 0.006 | 0.001  | 0.000      | 1253020.000 | 508884993.000  | 11355.238  |
| 1296  | 0   | 0     | 0     | 1296 | 0   | GET    | /admin/banned      | 0.004 | 0.028 | 4.584  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 366   | 0   | 0     | 366   | 0    | 0   | POST   | /comment           | 0.004 | 0.084 | 4.384  | 0.012 | 0.020 | 0.024 | 0.040 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1826  | 0   | 1826  | 0     | 0    | 0   | GET    | /login             | 0.004 | 0.024 | 3.596  | 0.002 | 0.004 | 0.004 | 0.008 | 0.003  | 615.000    | 615.000     | 1122990.000    | 615.000    |
| 913   | 0   | 0     | 913   | 0    | 0   | GET    | /logout            | 0.000 | 0.020 | 1.644  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 21912.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.844 | 0.844 | 0.844  | 0.844 | 0.844 | 0.844 | 0.844 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 64    | 0   | 64    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.028 | 0.556  | 0.009 | 0.016 | 0.016 | 0.028 | 0.005  | 477474.000 | 690985.000  | 35766133.000   | 558845.828 |
| 6770  | 0   | 1     | 6769  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.269      |
| 6770  | 0   | 1     | 6769  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.229      |
| 6770  | 0   | 1     | 6769  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.283      |
| 6770  | 0   | 1     | 6769  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
