+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 59842 | 0   | 19941 | 39901 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.052 | 88.329 | 0.001 | 0.004 | 0.008 | 0.016 | 0.003  | 49308.000  | 408485.000  | 2212960040.000 | 36980.048  |
| 660   | 0   | 660   | 0     | 0    | 0   | GET    | ^/@.*              | 0.036 | 5.248 | 84.459 | 0.128 | 0.168 | 0.188 | 0.268 | 0.204  | 1639.000   | 5475.000    | 2166742.000    | 3282.942   |
| 7642  | 0   | 7642  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.560 | 51.490 | 0.007 | 0.012 | 0.016 | 0.024 | 0.008  | 2579.000   | 6109.000    | 22039766.000   | 2884.031   |
| 640   | 0   | 640   | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.236 | 29.472 | 0.046 | 0.108 | 0.124 | 0.176 | 0.041  | 4988.000   | 5888.000    | 3428577.000    | 5357.152   |
| 682   | 0   | 0     | 341   | 341  | 0   | POST   | /                  | 0.004 | 0.256 | 28.959 | 0.042 | 0.124 | 0.148 | 0.188 | 0.051  | 0.000      | 0.000       | 0.000          | 0.000      |
| 3550  | 0   | 3550  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.000 | 0.064 | 20.144 | 0.006 | 0.012 | 0.012 | 0.020 | 0.005  | 709.000    | 1293.000    | 3348326.000    | 943.190    |
| 4877  | 0   | 0     | 4877  | 0    | 0   | POST   | /login             | 0.004 | 0.032 | 19.704 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1204  | 0   | 0     | 1204  | 0    | 0   | POST   | /register          | 0.004 | 0.156 | 15.320 | 0.013 | 0.020 | 0.024 | 0.036 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 42169 | 0   | 688   | 41481 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.048 | 7.287  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833847.000 | 1266146.000 | 615366180.000  | 14592.857  |
| 1204  | 0   | 0     | 0     | 1204 | 0   | GET    | /admin/banned      | 0.004 | 0.032 | 4.780  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 387   | 0   | 0     | 387   | 0    | 0   | POST   | /comment           | 0.004 | 0.092 | 4.760  | 0.012 | 0.020 | 0.024 | 0.036 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1736  | 0   | 1736  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.020 | 4.328  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1067640.000    | 615.000    |
| 868   | 0   | 0     | 868   | 0    | 0   | GET    | /logout            | 0.004 | 0.016 | 2.164  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 20832.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 1.008 | 1.008 | 1.008  | 1.008 | 1.008 | 1.008 | 1.008 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 74    | 0   | 74    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.000 | 0.036 | 0.688  | 0.009 | 0.016 | 0.020 | 0.036 | 0.006  | 459362.000 | 690968.000  | 41603344.000   | 562207.351 |
| 7260  | 0   | 1     | 7259  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.251      |
| 7260  | 0   | 1     | 7259  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.213      |
| 7260  | 0   | 1     | 7259  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.264      |
| 7260  | 0   | 1     | 7259  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
