+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 55041 | 0   | 18754 | 36287 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.208 | 83.436 | 0.002 | 0.004 | 0.008 | 0.016 | 0.003  | 48022.000  | 392815.000  | 2100137616.000 | 38155.877  |
| 585   | 0   | 585   | 0     | 0    | 0   | GET    | ^/@.*              | 0.040 | 4.536 | 75.119 | 0.128 | 0.164 | 0.192 | 0.280 | 0.187  | 1622.000   | 5420.000    | 1893773.000    | 3237.219   |
| 7663  | 0   | 7663  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.212 | 50.702 | 0.007 | 0.012 | 0.016 | 0.024 | 0.006  | 2603.000   | 6078.000    | 21804303.000   | 2845.400   |
| 2935  | 0   | 2935  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.076 | 44.848 | 0.015 | 0.028 | 0.032 | 0.044 | 0.009  | 700.000    | 1924.000    | 3684195.000    | 1255.262   |
| 640   | 0   | 640   | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.260 | 29.144 | 0.046 | 0.104 | 0.124 | 0.212 | 0.043  | 4965.000   | 5825.000    | 3426230.000    | 5353.484   |
| 680   | 0   | 0     | 340   | 340  | 0   | POST   | /                  | 0.004 | 0.208 | 29.047 | 0.043 | 0.128 | 0.148 | 0.180 | 0.051  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4874  | 0   | 0     | 4874  | 0    | 0   | POST   | /login             | 0.000 | 0.028 | 19.728 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1206  | 0   | 0     | 1206  | 0    | 0   | POST   | /register          | 0.004 | 0.092 | 14.836 | 0.012 | 0.020 | 0.024 | 0.036 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 46733 | 0   | 663   | 46070 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.076 | 7.222  | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833855.000 | 1253021.000 | 591875588.000  | 12665.046  |
| 1206  | 0   | 0     | 0     | 1206 | 0   | GET    | /admin/banned      | 0.004 | 0.024 | 4.848  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1752  | 0   | 1752  | 0     | 0    | 0   | GET    | /login             | 0.004 | 0.016 | 4.404  | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1077480.000    | 615.000    |
| 360   | 0   | 0     | 360   | 0    | 0   | POST   | /comment           | 0.004 | 0.060 | 4.052  | 0.011 | 0.016 | 0.020 | 0.032 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 876   | 0   | 0     | 876   | 0    | 0   | GET    | /logout            | 0.004 | 0.016 | 2.112  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 21024.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 1.184 | 1.184 | 1.184  | 1.184 | 1.184 | 1.184 | 1.184 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 56    | 0   | 56    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.008 | 0.040 | 0.492  | 0.009 | 0.016 | 0.016 | 0.040 | 0.006  | 486486.000 | 615612.000  | 31490313.000   | 562327.018 |
| 6671  | 0   | 1     | 6670  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.273      |
| 6671  | 0   | 1     | 6670  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.232      |
| 6671  | 0   | 1     | 6670  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.287      |
| 6671  | 0   | 1     | 6670  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
