+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 6762  | 0   | 6762  | 0     | 0    | 0   | GET    | /                  | 0.000 | 6.480 | 101.389 | 0.015 | 0.012 | 0.016 | 0.596 | 0.105  | 2590.000   | 6103.000    | 19440927.000   | 2875.026   |
| 230   | 0   | 230   | 0     | 0    | 0   | GET    | /posts             | 0.048 | 0.824 | 86.206  | 0.375 | 0.596 | 0.664 | 0.772 | 0.137  | 4965.000   | 5896.000    | 1229631.000    | 5346.222   |
| 3277  | 0   | 3277  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.068 | 49.900  | 0.015 | 0.028 | 0.036 | 0.048 | 0.011  | 688.000    | 2028.000    | 4195382.000    | 1280.251   |
| 44193 | 0   | 11129 | 33064 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.064 | 49.294  | 0.001 | 0.004 | 0.008 | 0.012 | 0.003  | 49295.000  | 408477.000  | 1253989405.000 | 28375.295  |
| 651   | 0   | 651   | 0     | 0    | 0   | GET    | ^/@.*              | 0.004 | 0.284 | 48.816  | 0.075 | 0.120 | 0.140 | 0.208 | 0.039  | 1485.000   | 5533.000    | 2118910.000    | 3254.854   |
| 572   | 0   | 0     | 286   | 286  | 0   | POST   | /                  | 0.004 | 0.220 | 26.800  | 0.047 | 0.144 | 0.168 | 0.200 | 0.056  | 0.000      | 0.000       | 0.000          | 0.000      |
| 4355  | 0   | 0     | 4355  | 0    | 0   | POST   | /login             | 0.000 | 0.032 | 17.212  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1092  | 0   | 0     | 1092  | 0    | 0   | POST   | /register          | 0.004 | 0.104 | 13.700  | 0.013 | 0.020 | 0.024 | 0.040 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 37887 | 0   | 658   | 37229 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.044 | 7.413   | 0.000 | 0.000 | 0.000 | 0.008 | 0.002  | 833840.000 | 1198483.000 | 632499439.000  | 16694.366  |
| 402   | 0   | 0     | 402   | 0    | 0   | POST   | /comment           | 0.004 | 0.088 | 5.376   | 0.013 | 0.020 | 0.028 | 0.040 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1092  | 0   | 0     | 0     | 1092 | 0   | GET    | /admin/banned      | 0.004 | 0.028 | 4.460   | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1526  | 0   | 1526  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.032 | 3.560   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 938490.000     | 615.000    |
| 763   | 0   | 0     | 763   | 0    | 0   | GET    | /logout            | 0.000 | 0.032 | 1.572   | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 18312.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 1.268 | 1.268 | 1.268   | 1.268 | 1.268 | 1.268 | 1.268 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 64    | 0   | 64    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.028 | 0.552   | 0.009 | 0.016 | 0.016 | 0.028 | 0.005  | 459348.000 | 690985.000  | 35403115.000   | 553173.672 |
| 6442  | 0   | 1     | 6441  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.283      |
| 6442  | 0   | 1     | 6441  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.240      |
| 6442  | 0   | 1     | 6441  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.297      |
| 6442  | 0   | 1     | 6441  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.007      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
