+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 200   | 0   | 200   | 0     | 0    | 0   | GET    | /posts             | 0.288 | 0.864 | 90.524 | 0.453 | 0.524 | 0.584 | 0.728 | 0.080  | 4960.000   | 5843.000    | 1071000.000    | 5355.000   |
| 558   | 0   | 558   | 0     | 0    | 0   | GET    | ^/@.*              | 0.044 | 2.640 | 75.916 | 0.136 | 0.176 | 0.200 | 0.312 | 0.116  | 1543.000   | 5163.000    | 1788588.000    | 3205.355   |
| 51959 | 0   | 10218 | 41741 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.004 | 0.108 | 48.937 | 0.001 | 0.004 | 0.008 | 0.012 | 0.003  | 50592.000  | 408862.000  | 1167645805.000 | 22472.446  |
| 7877  | 0   | 7877  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.224 | 47.479 | 0.006 | 0.012 | 0.016 | 0.024 | 0.006  | 2608.000   | 6098.000    | 22646010.000   | 2874.954   |
| 2852  | 0   | 2852  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.000 | 0.064 | 44.120 | 0.015 | 0.028 | 0.032 | 0.048 | 0.009  | 700.000    | 1907.000    | 3584146.000    | 1256.713   |
| 646   | 0   | 0     | 323   | 323  | 0   | POST   | /                  | 0.000 | 0.392 | 31.219 | 0.048 | 0.152 | 0.172 | 0.216 | 0.061  | 0.000      | 0.000       | 0.000          | 0.000      |
| 5023  | 0   | 0     | 5023  | 0    | 0   | POST   | /login             | 0.004 | 0.032 | 18.388 | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1313  | 0   | 0     | 1313  | 0    | 0   | POST   | /register          | 0.004 | 0.096 | 15.184 | 0.012 | 0.020 | 0.024 | 0.032 | 0.007  | 0.000      | 0.000       | 0.000          | 0.000      |
| 42050 | 0   | 431   | 41619 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.080 | 5.248  | 0.000 | 0.000 | 0.000 | 0.004 | 0.001  | 0.000      | 1170502.000 | 397928778.000  | 9463.229   |
| 1313  | 0   | 0     | 0     | 1313 | 0   | GET    | /admin/banned      | 0.000 | 0.036 | 4.728  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 337   | 0   | 0     | 337   | 0    | 0   | POST   | /comment           | 0.004 | 0.048 | 4.187  | 0.012 | 0.020 | 0.024 | 0.032 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1818  | 0   | 1818  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.024 | 3.796  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1118070.000    | 615.000    |
| 909   | 0   | 0     | 909   | 0    | 0   | GET    | /logout            | 0.000 | 0.016 | 1.788  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 21816.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.884 | 0.884 | 0.884  | 0.884 | 0.884 | 0.884 | 0.884 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 58    | 0   | 58    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.020 | 0.448  | 0.008 | 0.012 | 0.016 | 0.020 | 0.004  | 459348.000 | 690984.000  | 31980764.000   | 551392.483 |
| 6681  | 0   | 1     | 6680  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.273      |
| 6681  | 0   | 1     | 6680  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.232      |
| 6681  | 0   | 1     | 6680  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.287      |
| 6681  | 0   | 1     | 6680  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
