+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 62782 | 0   | 19612 | 43170 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.332 | 101.298 | 0.002 | 0.004 | 0.008 | 0.016 | 0.007  | 39492.000  | 375665.000  | 2188777819.000 | 34863.143  |
| 787   | 0   | 787   | 0     | 0    | 0   | GET    | ^/@.*              | 0.004 | 0.608 | 51.571  | 0.066 | 0.104 | 0.124 | 0.244 | 0.047  | 1402.000   | 5450.000    | 2567812.000    | 3262.785   |
| 7839  | 0   | 7839  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.116 | 51.263  | 0.007 | 0.012 | 0.012 | 0.024 | 0.005  | 2585.000   | 6101.000    | 23194204.000   | 2958.822   |
| 3494  | 0   | 3494  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.236 | 48.700  | 0.014 | 0.024 | 0.028 | 0.048 | 0.011  | 699.000    | 1954.000    | 4423527.000    | 1266.035   |
| 716   | 0   | 0     | 358   | 358  | 0   | POST   | /                  | 0.004 | 0.476 | 27.768  | 0.039 | 0.108 | 0.128 | 0.200 | 0.052  | 0.000      | 0.000       | 0.000          | 0.000      |
| 660   | 0   | 660   | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.236 | 26.708  | 0.040 | 0.096 | 0.116 | 0.164 | 0.038  | 5013.000   | 5820.000    | 3539270.000    | 5362.530   |
| 5044  | 0   | 0     | 5044  | 0    | 0   | POST   | /login             | 0.004 | 0.044 | 18.248  | 0.004 | 0.008 | 0.008 | 0.016 | 0.003  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1318  | 0   | 0     | 1318  | 0    | 0   | POST   | /register          | 0.004 | 0.112 | 14.016  | 0.011 | 0.016 | 0.020 | 0.032 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 35222 | 0   | 702   | 34520 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.004 | 0.164 | 8.776   | 0.000 | 0.000 | 0.000 | 0.008 | 0.003  | 785076.000 | 1170286.000 | 633441052.000  | 17984.244  |
| 523   | 0   | 0     | 523   | 0    | 0   | POST   | /comment           | 0.004 | 0.164 | 5.548   | 0.011 | 0.016 | 0.020 | 0.028 | 0.009  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1318  | 0   | 0     | 0     | 1318 | 0   | GET    | /admin/banned      | 0.004 | 0.024 | 4.520   | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1658  | 0   | 1658  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.024 | 4.444   | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1019670.000    | 615.000    |
| 829   | 0   | 0     | 829   | 0    | 0   | GET    | /logout            | 0.004 | 0.020 | 2.112   | 0.003 | 0.008 | 0.008 | 0.008 | 0.003  | 24.000     | 24.000      | 19896.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 1.136 | 1.136 | 1.136   | 1.136 | 1.136 | 1.136 | 1.136 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 60    | 0   | 60    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.040 | 0.472   | 0.008 | 0.012 | 0.016 | 0.040 | 0.006  | 486501.000 | 605872.000  | 32685238.000   | 544753.967 |
| 6841  | 0   | 1     | 6840  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.267      |
| 6841  | 0   | 1     | 6840  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.226      |
| 6841  | 0   | 1     | 6840  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.280      |
| 6841  | 0   | 1     | 6840  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
