+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 57602 | 0   | 19374 | 38228 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.004 | 0.284 | 97.954 | 0.002 | 0.004 | 0.008 | 0.016 | 0.006  | 50433.000  | 377181.000  | 2162670171.000 | 37545.053  |
| 768   | 0   | 768   | 0     | 0    | 0   | GET    | ^/@.*              | 0.004 | 0.452 | 52.107 | 0.068 | 0.108 | 0.128 | 0.228 | 0.040  | 1750.000   | 5536.000    | 2551235.000    | 3321.921   |
| 7797  | 0   | 7797  | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.208 | 51.416 | 0.007 | 0.012 | 0.012 | 0.020 | 0.005  | 2565.000   | 6104.000    | 22922256.000   | 2939.881   |
| 3482  | 0   | 3482  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.208 | 48.912 | 0.014 | 0.024 | 0.028 | 0.052 | 0.011  | 702.000    | 2000.000    | 4397061.000    | 1262.798   |
| 712   | 0   | 0     | 356   | 356  | 0   | POST   | /                  | 0.000 | 0.408 | 27.747 | 0.039 | 0.108 | 0.128 | 0.168 | 0.052  | 0.000      | 0.000       | 0.000          | 0.000      |
| 640   | 0   | 640   | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.276 | 27.284 | 0.043 | 0.096 | 0.112 | 0.200 | 0.041  | 4981.000   | 5841.000    | 3430914.000    | 5360.803   |
| 5027  | 0   | 0     | 5027  | 0    | 0   | POST   | /login             | 0.004 | 0.036 | 18.863 | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1290  | 0   | 0     | 1290  | 0    | 0   | POST   | /register          | 0.004 | 0.068 | 14.067 | 0.011 | 0.016 | 0.020 | 0.036 | 0.006  | 0.000      | 0.000       | 0.000          | 0.000      |
| 40332 | 0   | 726   | 39606 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.184 | 8.725  | 0.000 | 0.000 | 0.000 | 0.008 | 0.003  | 0.000      | 1089626.000 | 654893891.000  | 16237.575  |
| 523   | 0   | 0     | 523   | 0    | 0   | POST   | /comment           | 0.004 | 0.084 | 5.792  | 0.011 | 0.016 | 0.020 | 0.040 | 0.008  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1290  | 0   | 0     | 0     | 1290 | 0   | GET    | /admin/banned      | 0.000 | 0.024 | 4.548  | 0.004 | 0.008 | 0.008 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1668  | 0   | 1668  | 0     | 0    | 0   | GET    | /login             | 0.004 | 0.020 | 4.547  | 0.003 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1025820.000    | 615.000    |
| 834   | 0   | 0     | 834   | 0    | 0   | GET    | /logout            | 0.000 | 0.016 | 2.068  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 20016.000      | 24.000     |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.788 | 0.788 | 0.788  | 0.788 | 0.788 | 0.788 | 0.788 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 68    | 0   | 68    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.020 | 0.508  | 0.007 | 0.012 | 0.016 | 0.020 | 0.004  | 465154.000 | 606712.000  | 37086132.000   | 545384.294 |
| 6830  | 0   | 1     | 6829  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.267      |
| 6830  | 0   | 1     | 6829  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.227      |
| 6830  | 0   | 1     | 6829  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.280      |
| 6830  | 0   | 1     | 6829  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
