+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 61543 | 0   | 19779 | 41764 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.208 | 101.328 | 0.002 | 0.004 | 0.008 | 0.016 | 0.006  | 48007.000  | 408447.000  | 2209541295.000 | 35902.398  |
| 8382  | 0   | 8382  | 0     | 0    | 0   | GET    | /                  | 0.000 | 0.080 | 55.555  | 0.007 | 0.012 | 0.012 | 0.024 | 0.005  | 2548.000   | 6106.000    | 24797415.000   | 2958.413   |
| 848   | 0   | 848   | 0     | 0    | 0   | GET    | ^/@.*              | 0.004 | 0.340 | 52.191  | 0.062 | 0.100 | 0.116 | 0.236 | 0.037  | 1485.000   | 5531.000    | 2774881.000    | 3272.265   |
| 3669  | 0   | 3669  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.184 | 48.775  | 0.013 | 0.024 | 0.028 | 0.048 | 0.010  | 705.000    | 2011.000    | 4633203.000    | 1262.797   |
| 660   | 0   | 660   | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.200 | 26.388  | 0.040 | 0.096 | 0.112 | 0.180 | 0.037  | 4965.000   | 5786.000    | 3521413.000    | 5335.474   |
| 812   | 0   | 0     | 406   | 406  | 0   | POST   | /                  | 0.004 | 0.404 | 24.248  | 0.030 | 0.080 | 0.104 | 0.140 | 0.042  | 0.000      | 0.000       | 0.000          | 0.000      |
| 5378  | 0   | 0     | 5378  | 0    | 0   | POST   | /login             | 0.000 | 0.032 | 20.384  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 37455 | 0   | 725   | 36730 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.156 | 8.785   | 0.000 | 0.000 | 0.000 | 0.008 | 0.003  | 833855.000 | 1170492.000 | 651269130.000  | 17388.042  |
| 1488  | 0   | 0     | 1488  | 0    | 0   | POST   | /register          | 0.004 | 0.028 | 7.772   | 0.005 | 0.012 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1488  | 0   | 0     | 0     | 1488 | 0   | GET    | /admin/banned      | 0.004 | 0.024 | 5.344   | 0.004 | 0.008 | 0.008 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1660  | 0   | 1660  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.028 | 5.140   | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 615.000    | 615.000     | 1020900.000    | 615.000    |
| 588   | 0   | 0     | 588   | 0    | 0   | POST   | /comment           | 0.000 | 0.036 | 3.072   | 0.005 | 0.012 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 830   | 0   | 0     | 830   | 0    | 0   | GET    | /logout            | 0.000 | 0.020 | 2.303   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 19920.000      | 24.000     |
| 78    | 0   | 78    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.000 | 0.028 | 0.668   | 0.009 | 0.016 | 0.020 | 0.028 | 0.005  | 459230.000 | 604162.000  | 42461258.000   | 544375.103 |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.140 | 0.140 | 0.140   | 0.140 | 0.140 | 0.140 | 0.140 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 6941  | 0   | 1     | 6940  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.263      |
| 6941  | 0   | 1     | 6940  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.223      |
| 6941  | 0   | 1     | 6940  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.276      |
| 6941  | 0   | 1     | 6940  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
