+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| COUNT | 1XX |  2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
| 53690 | 0   | 18986 | 34704 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.004 | 0.368 | 108.179 | 0.002 | 0.004 | 0.008 | 0.016 | 0.009  | 49309.000  | 376983.000  | 2104084082.000 | 39189.497  |
| 8371  | 0   | 8371  | 0     | 0    | 0   | GET    | /                  | 0.000 | 0.140 | 52.976  | 0.006 | 0.012 | 0.012 | 0.020 | 0.005  | 2477.000   | 6097.000    | 24600465.000   | 2938.773   |
| 843   | 0   | 843   | 0     | 0    | 0   | GET    | ^/@.*              | 0.004 | 0.524 | 50.223  | 0.060 | 0.096 | 0.112 | 0.252 | 0.042  | 1404.000   | 5285.000    | 2744840.000    | 3256.038   |
| 3619  | 0   | 3619  | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.380 | 49.715  | 0.014 | 0.020 | 0.028 | 0.060 | 0.017  | 698.000    | 2012.000    | 4574634.000    | 1264.060   |
| 741   | 0   | 0     | 371   | 370  | 0   | POST   | /                  | 0.000 | 0.444 | 26.347  | 0.036 | 0.096 | 0.112 | 0.260 | 0.051  | 0.000      | 0.000       | 0.000          | 0.000      |
| 640   | 0   | 640   | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.200 | 24.631  | 0.038 | 0.092 | 0.112 | 0.164 | 0.037  | 4965.000   | 5794.000    | 3427994.000    | 5356.241   |
| 5327  | 0   | 0     | 5327  | 0    | 0   | POST   | /login             | 0.004 | 0.028 | 20.084  | 0.004 | 0.008 | 0.012 | 0.016 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 43732 | 0   | 722   | 43010 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.204 | 8.744   | 0.000 | 0.000 | 0.000 | 0.008 | 0.003  | 0.000      | 1221082.000 | 646944293.000  | 14793.385  |
| 1548  | 0   | 0     | 1548  | 0    | 0   | POST   | /register          | 0.004 | 0.068 | 7.504   | 0.005 | 0.008 | 0.012 | 0.020 | 0.005  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1548  | 0   | 0     | 0     | 1548 | 0   | GET    | /admin/banned      | 0.004 | 0.024 | 5.004   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 0.000      | 0.000       | 0.000          | 0.000      |
| 1636  | 0   | 1636  | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.024 | 4.976   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1006140.000    | 615.000    |
| 585   | 0   | 0     | 585   | 0    | 0   | POST   | /comment           | 0.000 | 0.032 | 2.776   | 0.005 | 0.008 | 0.012 | 0.024 | 0.004  | 0.000      | 0.000       | 0.000          | 0.000      |
| 818   | 0   | 0     | 818   | 0    | 0   | GET    | /logout            | 0.004 | 0.020 | 2.276   | 0.003 | 0.008 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 19632.000      | 24.000     |
| 76    | 0   | 76    | 0     | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.004 | 0.028 | 0.640   | 0.008 | 0.016 | 0.020 | 0.028 | 0.005  | 492340.000 | 690985.000  | 42696856.000   | 561800.737 |
| 1     | 0   | 1     | 0     | 0    | 0   | GET    | /initialize        | 0.152 | 0.152 | 0.152   | 0.152 | 0.152 | 0.152 | 0.152 | 0.000  | 0.000      | 0.000       | 0.000          | 0.000      |
| 6872  | 0   | 1     | 6871  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000       | 0.265      |
| 6872  | 0   | 1     | 6871  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000       | 0.225      |
| 6872  | 0   | 1     | 6871  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000       | 0.279      |
| 6872  | 0   | 1     | 6871  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000         | 0.006      |
+-------+-----+-------+-------+------+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+-------------+----------------+------------+
