+-------+-----+------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX  | 5XX | METHOD |        URI         |  MIN  |  MAX  |  SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY)  |
+-------+-----+------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
| 9671  | 0   | 9671 | 0     | 0    | 0   | GET    | /                  | 0.004 | 0.096 | 53.815 | 0.006 | 0.008 | 0.012 | 0.020 | 0.004  | 2582.000   | 6105.000    | 29243879.000  | 3023.873   |
| 1048  | 0   | 1048 | 0     | 0    | 0   | GET    | ^/@.*              | 0.004 | 0.516 | 50.890 | 0.049 | 0.080 | 0.096 | 0.200 | 0.036  | 1404.000   | 5563.000    | 3431514.000   | 3274.345   |
| 4481  | 0   | 4481 | 0     | 0    | 0   | GET    | ^/posts/[0-9]+     | 0.004 | 0.256 | 50.647 | 0.011 | 0.020 | 0.024 | 0.060 | 0.013  | 707.000    | 2022.000    | 5675069.000   | 1266.474   |
| 1790  | 0   | 1790 | 0     | 0    | 0   | GET    | /posts             | 0.004 | 0.228 | 39.506 | 0.022 | 0.048 | 0.080 | 0.116 | 0.023  | 4960.000   | 5775.000    | 9592812.000   | 5359.113   |
| 92281 | 0   | 5965 | 86316 | 0    | 0   | GET    | ^/image/[0-9]+.jpg | 0.000 | 0.252 | 27.263 | 0.000 | 0.000 | 0.000 | 0.008 | 0.004  | 0.000      | 408544.000  | 650533112.000 | 7049.481   |
| 838   | 0   | 0    | 419   | 419  | 0   | POST   | /                  | 0.008 | 0.440 | 24.556 | 0.029 | 0.084 | 0.100 | 0.196 | 0.043  | 0.000      | 0.000       | 0.000         | 0.000      |
| 6169  | 0   | 0    | 6169  | 0    | 0   | POST   | /login             | 0.000 | 0.040 | 18.716 | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 0.000      | 0.000       | 0.000         | 0.000      |
| 1691  | 0   | 0    | 1691  | 0    | 0   | POST   | /register          | 0.004 | 0.052 | 7.096  | 0.004 | 0.008 | 0.012 | 0.020 | 0.004  | 0.000      | 0.000       | 0.000         | 0.000      |
| 1691  | 0   | 0    | 0     | 1691 | 0   | GET    | /admin/banned      | 0.000 | 0.044 | 4.971  | 0.003 | 0.008 | 0.008 | 0.016 | 0.003  | 0.000      | 0.000       | 0.000         | 0.000      |
| 1946  | 0   | 1946 | 0     | 0    | 0   | GET    | /login             | 0.000 | 0.032 | 4.660  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 615.000    | 615.000     | 1196790.000   | 615.000    |
| 45122 | 0   | 275  | 44847 | 0    | 0   | GET    | ^/image/[0-9]+.png | 0.000 | 0.136 | 3.394  | 0.000 | 0.000 | 0.000 | 0.000 | 0.002  | 0.000      | 1198093.000 | 244180830.000 | 5411.569   |
| 721   | 0   | 0    | 721   | 0    | 0   | POST   | /comment           | 0.000 | 0.064 | 2.900  | 0.004 | 0.008 | 0.012 | 0.020 | 0.005  | 0.000      | 0.000       | 0.000         | 0.000      |
| 973   | 0   | 0    | 973   | 0    | 0   | GET    | /logout            | 0.004 | 0.024 | 2.224  | 0.002 | 0.004 | 0.008 | 0.012 | 0.003  | 24.000     | 24.000      | 23352.000     | 24.000     |
| 98    | 0   | 76   | 22    | 0    | 0   | GET    | ^/image/[0-9]+.gif | 0.000 | 0.024 | 0.336  | 0.003 | 0.012 | 0.016 | 0.024 | 0.005  | 584116.000 | 615397.000  | 41946851.000  | 428029.092 |
| 1     | 0   | 1    | 0     | 0    | 0   | GET    | /initialize        | 0.216 | 0.216 | 0.216  | 0.216 | 0.216 | 0.216 | 0.216 | 0.000  | 0.000      | 0.000       | 0.000         | 0.000      |
| 8398  | 0   | 1    | 8397  | 0    | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1824.000    | 1824.000      | 0.217      |
| 8398  | 0   | 1    | 8397  | 0    | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1549.000    | 1549.000      | 0.184      |
| 8398  | 0   | 1    | 8397  | 0    | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 1915.000    | 1915.000      | 0.228      |
| 8398  | 0   | 1    | 8397  | 0    | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 43.000      | 43.000        | 0.005      |
+-------+-----+------+-------+------+-----+--------+--------------------+-------+-------+--------+-------+-------+-------+-------+--------+------------+-------------+---------------+------------+
